Town,VName,Vendor,VAddrs,VType,Spons,CCode,VGrp,Payment,PayDate,GrantName,InvoiceNum,InvDate,Date2,CCode_A,TTYpe,CCode_B,Qtr,
2,Ansonia,0000000002,002,02,00200,11000-16072-82051-2004-170005-,1,11547.0000,10/3/2003,Child Nutrition State Matching Grant,105,2003/10/03 #: 105,10/03/2003,11000-16072-82051-2004,2,11000-16072-82051-170005,QE-2 12/31,
2,Ansonia,0000000002,002,02,00200,11000-16072-82051-2004-170005-,1,4148.0000,3/10/2004,Child Nutrition State Matching Grant,PUB_STMCH,2004/03/10 #: PUB_STMCH,03/10/2004,11000-16072-82051-2004,2,11000-16072-82051-170005,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-17027-82010-2004-170005-,1,247264.0000,5/6/2004,Transportation Of School Children-Public,TRANPUB,2004/05/06 #: TRANPUB,05/06/2004,11000-17027-82010-2004,2,11000-17027-82010-170005,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17030-84003-2004-170013-,1,42843.0000,8/27/2003,Adult Education - Cooperative,39,2003/08/27 #: 39,08/27/2003,11000-17030-84003-2004,2,11000-17030-84003-170013,QE-1 09/30,
2,Ansonia,0000000002,001,00,,11000-17030-84003-2004-170013-,1,27962.0000,5/25/2004,Adult Education - Cooperative,ADED_CO,2004/05/25 #: ADED_CO,05/25/2004,11000-17030-84003-2004,2,11000-17030-84003-170013,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17034-82010-2004-170006-,1,25117.0000,1/5/2004,Nonpublic Health Services,236,2004/01/05 #: 236,01/05/2004,11000-17034-82010-2004,2,11000-17034-82010-170006,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-17041-82010-2004-170002-,1,2999883.0000,10/27/2003,Education Equalization,ECS,2003/10/27 #: ECS,10/27/2003,11000-17041-82010-2004,2,11000-17041-82010-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-17041-82010-2004-170002-,1,2999883.0000,1/23/2004,Education Equalization,ECS,2004/01/23 #: ECS,01/23/2004,11000-17041-82010-2004,2,11000-17041-82010-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-17041-82010-2004-170002-,1,5972150.0000,4/26/2004,Education Equalization,ECS,2004/04/26 #: ECS,04/26/2004,11000-17041-82010-2004,2,11000-17041-82010-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17043-82052-2004-170002-,1,30000.0000,12/8/2003,Priority School Districts,176,2003/12/08 #: 176,12/08/2003,11000-17043-82052-2004,2,11000-17043-82052-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-17043-82052-2004-170002-,1,60000.0000,4/1/2004,Priority School Districts,367,2004/04/01 #: 367,04/01/2004,11000-17043-82052-2004,2,11000-17043-82052-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17043-82052-2004-170002-,1,5000.0000,1/5/2004,Priority School Districts,237,2004/01/05 #: 237,01/05/2004,11000-17043-82052-2004,2,11000-17043-82052-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-17043-82052-2004-170002-,1,75000.0000,2/2/2004,Priority School Districts,283,2004/02/02 #: 283,02/02/2004,11000-17043-82052-2004,2,11000-17043-82052-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-17043-82052-2004-170002-,1,50000.0000,3/2/2004,Priority School Districts,322,2004/03/02 #: 322,03/02/2004,11000-17043-82052-2004,2,11000-17043-82052-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-17043-82052-2004-170002-,1,60000.0000,5/4/2004,Priority School Districts,410,2004/05/04 #: 410,05/04/2004,11000-17043-82052-2004,2,11000-17043-82052-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17043-82052-2004-170002-,1,123750.0000,5/26/2004,Priority School Districts,476,2004/05/26 #: 476,05/26/2004,11000-17043-82052-2004,2,11000-17043-82052-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17043-82053-2004-170002-,1,32000.0000,4/1/2004,Early Reading Success,371,2004/04/01 #: 371,04/01/2004,11000-17043-82053-2004,2,11000-17043-82053-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17043-82053-2004-170002-,1,20000.0000,1/5/2004,Early Reading Success,237,2004/01/05 #: 237,01/05/2004,11000-17043-82053-2004,2,11000-17043-82053-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-17043-82053-2004-170002-,1,20000.0000,2/2/2004,Early Reading Success,283,2004/02/02 #: 283,02/02/2004,11000-17043-82053-2004,2,11000-17043-82053-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-17043-82053-2004-170002-,1,30000.0000,3/2/2004,Early Reading Success,322,2004/03/02 #: 322,03/02/2004,11000-17043-82053-2004,2,11000-17043-82053-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-17043-82053-2004-170002-,1,40000.0000,5/4/2004,Early Reading Success,414,2004/05/04 #: 414,05/04/2004,11000-17043-82053-2004,2,11000-17043-82053-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17043-82053-2004-170002-,1,59582.0000,5/26/2004,Early Reading Success,476,2004/05/26 #: 476,05/26/2004,11000-17043-82053-2004,2,11000-17043-82053-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17043-82054-2004-170002-,1,4000.0000,12/8/2003,Extended School Hours,176,2003/12/08 #: 176,12/08/2003,11000-17043-82054-2004,2,11000-17043-82054-170002,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-17043-82054-2004-170002-,1,8000.0000,2/2/2004,Extended School Hours,283,2004/02/02 #: 283,02/02/2004,11000-17043-82054-2004,2,11000-17043-82054-170002,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-17043-82054-2004-170002-,1,7000.0000,4/1/2004,Extended School Hours,371,2004/04/01 #: 371,04/01/2004,11000-17043-82054-2004,2,11000-17043-82054-170002,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-17043-82054-2004-170002-,1,7000.0000,3/2/2004,Extended School Hours,322,2004/03/02 #: 322,03/02/2004,11000-17043-82054-2004,2,11000-17043-82054-170002,QE-3 03/31,
