Town,VName,Vendor,VAddrs,VType,Spons,CCode,VGrp,Payment,PayDate,GrantName,InvoiceNum,InvDate,Date2,CCode_A,TTYpe,CCode_B,Qtr,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2006-170036-,1,500.0000,11/29/2005,Primary Mental Health,CM_DEC2005_81380,2005/11/29 #: CM_DEC2005_81380,11/29/2005,11000-12198-82079-2006,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2006-170036-,1,1500.0000,10/1/2005,Primary Mental Health,CM_OCT2005_81228,2005/10/01 #: CM_OCT2005_81228,10/01/2005,11000-12198-82079-2006,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2006-170036-,1,1500.0000,10/26/2005,Primary Mental Health,CM_NOV2005_81259,2005/10/26 #: CM_NOV2005_81259,10/26/2005,11000-12198-82079-2006,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2006-170036-,1,1500.0000,12/29/2005,Primary Mental Health,CM_JAN2006_81476,2005/12/29 #: CM_JAN2006_81476,12/29/2005,11000-12198-82079-2006,2,11000-12198-82079-170036,QE-2 12/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2006-170036-,1,1500.0000,2/1/2006,Primary Mental Health,CM_FEB2006_81543,2006/02/01 #: CM_FEB2006_81543,02/01/2006,11000-12198-82079-2006,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2006-170036-,1,3000.0000,3/29/2006,Primary Mental Health,CM_APR2006_81771,2006/03/29 #: CM_APR2006_81771,03/29/2006,11000-12198-82079-2006,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2006-170036-,1,1500.0000,3/1/2006,Primary Mental Health,CM_MAR2006_81687,2006/03/01 #: CM_MAR2006_81687,03/01/2006,11000-12198-82079-2006,2,11000-12198-82079-170036,QE-3 03/31,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2006-170036-,1,5600.0000,5/26/2006,Primary Mental Health,CM_JUN2006_81942,2006/05/26 #: CM_JUN2006_81942,05/26/2006,11000-12198-82079-2006,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,001,00,,11000-12198-82079-2006-170036-,1,2000.0000,5/3/2006,Primary Mental Health,CM_MAY2006_81854,2006/05/03 #: CM_MAY2006_81854,05/03/2006,11000-12198-82079-2006,2,11000-12198-82079-170036,QE-4 06/30,
2,Ansonia,0000000002,002,02,00200,11000-16072-82051-2006-170005-,1,11135.0000,10/30/2005,Child Nutrition State Matching Grant,PUB_STMCH_OCT2005,2005/10/30 #: PUB_STMCH_OCT2005,10/30/2005,11000-16072-82051-2006,2,11000-16072-82051-170005,QE-2 12/31,
2,Ansonia,0000000002,002,02,00200,11000-16072-82051-2006-170005-,1,4838.0000,4/11/2006,Child Nutrition State Matching Grant,PUB_STMCH_APR2006,2006/04/11 #: PUB_STMCH_APR2006,04/11/2006,11000-16072-82051-2006,2,11000-16072-82051-170005,QE-4 06/30,
