report_year,FTE Count
2003,922.6
2004,892.4
2005,896.1
2006,923.8
2007,923.2
2008,927.8
2009,909.1
2010,887.2
2011,891.5
2012,909.0
2013,902.5
2014,945.8
2015,967.0
2016,989.8
2017,1058.2
2018,1045.9
