City,report_year,FTE Count,EDSIGHT_ENROLLMENT,Teacher FTE Count,Counselor FTE Count,has_nulls,Education spending,Inter_Gov_Rev,Enrollment
BARKHAMSTED,2016,58.5,286.0,19.9,,True,9502969.0,2190046.0,564.73
BARKHAMSTED,2017,58.7,255.0,18.9,,True,,,
BARKHAMSTED,2018,60.99999999999999,248.0,17.9,,True,,,
BERLIN,2002,119.0,,,,True,,,
BERLIN,2003,461.9,,197.4,16.8,False,,,
BERLIN,2004,451.7,,194.0,16.6,False,,,
BERLIN,2005,466.4,,201.9,17.1,False,,,
BERLIN,2006,478.6,,205.3,17.9,False,,,
BERLIN,2007,482.00000000000006,,206.8,16.8,False,37095815.0,9291106.0,3322.87
BERLIN,2008,472.9,3275.0,196.7,16.8,False,50558499.0,22335205.0,3313.32
BERLIN,2009,485.2,3223.0,203.7,17.8,False,41651157.0,11668616.0,3266.73
BERLIN,2010,484.6,3169.0,202.0,16.8,False,42342339.0,11239269.0,3219.34
BERLIN,2011,469.4,3129.0,200.6,16.8,False,42974081.0,11406083.0,3166.44
BERLIN,2012,489.2000000000001,3027.0,202.4,16.9,False,45044221.0,13319574.0,3078.92
BERLIN,2013,491.30000000000007,2985.0,204.9,16.9,False,46108451.0,12927657.0,3050.82
BERLIN,2014,475.80000000000007,2963.0,208.5,16.8,False,48175177.0,13429655.0,3063.18
BERLIN,2015,487.2,2909.0,210.4,17.0,False,47885291.0,12386029.0,3024.11
BERLIN,2016,483.8,2879.0,200.6,16.0,False,49476881.0,13312658.0,2938.43
BERLIN,2017,499.9,2805.0,204.3,17.0,False,,,
BERLIN,2018,484.8,2795.0,191.9,17.0,False,,,
BETHANY,2002,21.5,,,,True,,,
BETHANY,2003,77.89999999999998,,39.8,2.4,True,,,
BETHANY,2004,84.2,,40.7,2.4,True,,,
BETHANY,2005,86.3,,38.8,2.1,True,,,
BETHANY,2006,94.2,,40.4,2.0,True,,,
BETHANY,2007,97.3,,40.4,2.2,True,13332507.0,2146915.0,1078.67
BETHANY,2008,94.70000000000002,570.0,38.4,2.4,True,14630594.0,2873616.0,1087.84
BETHANY,2009,96.0,551.0,38.9,2.4,True,15045677.0,3183514.0,1074.55
BETHANY,2010,98.7,516.0,39.9,2.4,True,15467143.0,3281826.0,1039.59
BETHANY,2011,92.0,514.0,37.9,1.8,True,15340874.0,3064837.0,1014.45
BETHANY,2012,90.0,492.0,36.9,2.0,True,15411290.0,3233000.0,973.53
BETHANY,2013,92.2,473.0,36.9,2.4,True,15599595.0,3437582.0,943.59
BETHANY,2014,89.89999999999998,436.0,36.0,2.4,True,15923151.0,3467034.0,914.19
BETHANY,2015,79.69999999999997,407.0,33.6,2.4,False,16405008.0,3301310.0,884.97
BETHANY,2016,77.89999999999998,383.0,30.0,2.5,False,16698230.0,3424720.0,840.69
BETHANY,2017,75.3,356.0,29.8,2.5,True,,,
BETHANY,2018,73.79999999999998,365.0,29.8,2.5,True,,,
BETHEL,2002,120.0,,,,True,,,
BETHEL,2003,477.3,,214.7,18.3,False,,,
BETHEL,2004,466.3,,216.6,18.0,False,,,
BETHEL,2005,470.0,,214.1,17.6,False,,,
BETHEL,2006,447.7,,205.4,18.0,False,,,
BETHEL,2007,462.69999999999993,,213.5,16.9,False,36050621.0,10468243.0,3231.5
BETHEL,2008,469.7,3157.0,212.4,17.8,False,46027926.0,19369857.0,3158.07
BETHEL,2009,475.6,3087.0,207.8,16.7,False,39762463.0,12650886.0,3102.17
BETHEL,2010,475.2000000000001,3053.0,207.4,17.0,False,38917838.0,11350228.0,3061.31
BETHEL,2011,475.4,2949.0,203.8,16.0,False,39878864.0,11415189.0,2953.22
BETHEL,2012,467.7,2982.0,201.3,17.0,False,42185635.0,13030608.0,2962.34
BETHEL,2013,465.0,2987.0,201.5,15.9,False,44246629.0,13396122.0,2962.07
BETHEL,2014,467.4,3000.0,201.1,18.9,False,46384500.0,14565184.0,2946.04
BETHEL,2015,456.6,2939.0,193.3,16.9,False,46517348.0,13385789.0,2879.53
BETHEL,2016,459.2000000000001,2971.0,194.2,15.0,False,48105825.0,13962715.0,2930.31
BETHEL,2017,469.5,2996.0,201.6,17.4,False,,,
BETHEL,2018,470.5,3059.0,200.6,19.4,False,,,
BLOOMFIELD,2002,88.0,,,,True,,,
BLOOMFIELD,2003,462.3,,166.0,15.6,False,,,
BLOOMFIELD,2004,466.6,,168.8,17.0,False,,,
BLOOMFIELD,2005,498.3,,169.8,18.0,False,,,
BLOOMFIELD,2006,491.8,,173.0,19.8,False,,,
BLOOMFIELD,2007,493.8,,173.1,19.0,False,36494139.0,9118469.0,2700.61
BLOOMFIELD,2008,489.4,2240.0,170.4,20.8,False,45243647.0,16966207.0,2628.6
BLOOMFIELD,2009,494.3,2181.0,170.8,21.0,False,40453351.0,11248024.0,2556.5
BLOOMFIELD,2010,526.0,2298.0,182.3,21.3,False,40445920.0,10277496.0,2529.41
BLOOMFIELD,2011,489.3,2207.0,178.0,21.8,False,40609912.0,9952846.0,2407.11
BLOOMFIELD,2012,490.00000000000006,2164.0,180.1,18.8,False,41407469.0,12018377.0,2374.3
BLOOMFIELD,2013,467.5,2119.0,186.2,19.0,False,40980883.0,14348379.0,2260.5
BLOOMFIELD,2014,483.0,2096.0,183.4,21.0,False,42708097.0,11640999.0,2186.57
BLOOMFIELD,2015,472.3,2115.0,171.5,21.0,False,42712016.0,10539585.0,2244.11
BLOOMFIELD,2016,451.2,2078.0,164.5,18.0,False,43740001.0,11091620.0,2238.29
BLOOMFIELD,2017,447.2,2157.0,155.3,16.4,False,,,
BLOOMFIELD,2018,465.5,2149.0,156.9,17.9,True,,,
BOLTON,2002,48.0,,,,True,,,
BOLTON,2003,160.9,,73.5,5.4,False,,,
BOLTON,2004,159.3,,72.2,5.6,False,,,
BOLTON,2005,158.7,,71.6,5.6,False,,,
BOLTON,2006,89.8,,68.5,4.2,True,,,
BOLTON,2007,160.7,,69.1,5.0,False,11395676.0,4053413.0,921.26
BOLTON,2008,164.6,876.0,68.5,5.7,False,15385286.0,7724870.0,868.56
BOLTON,2009,164.6,869.0,67.4,5.9,False,12675559.0,4585666.0,843.82
BOLTON,2010,162.4,888.0,64.9,5.7,False,12866459.0,4500629.0,839.24
BOLTON,2011,155.9,904.0,63.5,5.9,False,13011924.0,4471055.0,829.15
BOLTON,2012,160.89999999999995,897.0,64.1,6.3,False,13711064.0,4994535.0,828.2899999999997
BOLTON,2013,165.2,897.0,61.3,4.8,False,14080200.0,4855814.0,815.35
BOLTON,2014,163.39999999999995,869.0,59.0,6.5,False,14500226.0,4830217.0,803.26
BOLTON,2015,165.1,847.0,61.8,6.7,False,14768355.0,4981416.0,778.58
BOLTON,2016,161.39999999999995,820.0,64.6,6.7,False,14696498.0,4897507.0,759.1799999999997
BOLTON,2017,164.6,820.0,63.6,6.7,False,,,
BOLTON,2018,154.0,812.0,63.6,5.7,False,,,
BOZRAH,2002,19.0,,,,True,,,
BOZRAH,2003,51.8,,19.7,0.5,True,,,
BOZRAH,2004,51.6,,18.8,0.5,True,,,
BOZRAH,2005,51.0,,19.1,0.5,True,,,
BOZRAH,2006,51.1,,19.5,0.5,True,,,
BOZRAH,2007,53.8,,21.5,0.5,True,4439958.0,2273793.0,391.13
BOZRAH,2008,50.8,269.0,20.0,0.5,True,4998002.0,2072796.0,391.58
BOZRAH,2009,44.5,261.0,18.5,0.4,True,5320790.0,2255572.0,391.67
BOZRAH,2010,46.9,258.0,16.1,0.4,True,5370163.0,1990901.0,387.81
BOZRAH,2011,44.2,236.0,18.0,0.5,True,5546367.0,2099995.0,356.91
BOZRAH,2012,42.7,236.0,17.5,0.5,True,5548197.0,2190134.0,349.75
BOZRAH,2013,45.4,243.0,18.5,0.8,True,5670995.0,2082116.0,342.71
BOZRAH,2014,47.7,244.0,19.0,0.8,True,5831304.0,2368562.0,345.04
BOZRAH,2015,45.2,211.0,19.0,0.9,True,5857043.0,2091938.0,313.89
BOZRAH,2016,45.7,202.0,17.5,0.9,True,5925910.0,2217063.0,307.7
BOZRAH,2017,46.0,208.0,17.0,0.8,True,,,
BOZRAH,2018,44.8,204.0,17.0,0.8,True,,,
BRANFORD,2002,254.6,,,,True,,,
BRANFORD,2003,566.5,,239.8,20.3,False,,,
BRANFORD,2004,560.4000000000002,,237.9,20.3,False,,,
BRANFORD,2005,560.2,,239.8,20.3,False,,,
BRANFORD,2006,563.0,,248.1,19.3,False,,,
BRANFORD,2007,564.4,,245.1,19.3,False,45013856.0,6989557.0,3650.43
BRANFORD,2008,568.3,3514.0,249.0,20.3,False,60571587.0,21920852.0,3536.5
BRANFORD,2009,578.8,3515.0,245.5,19.0,False,49602424.0,8247139.0,3536.87
BRANFORD,2010,583.0,3534.0,242.9,18.4,False,50550551.0,7974118.0,3581.27
BRANFORD,2011,565.8000000000002,3445.0,244.3,17.5,False,52066037.0,8014335.0,3488.31
BRANFORD,2012,567.6,3341.0,234.9,17.5,False,54721423.0,9720290.0,3393.42
BRANFORD,2013,572.3000000000002,3282.0,245.8,17.5,False,56100841.0,9900481.0,3353.78
BRANFORD,2014,670.6,3245.0,237.5,17.0,False,57742288.0,10244386.0,3315.73
BRANFORD,2015,700.5999999999998,3108.0,225.4,15.4,False,57416360.0,8421875.0,3183.23
BRANFORD,2016,296.7,3066.0,225.5,15.4,True,59226125.0,8854178.0,3121.52
BRANFORD,2017,618.1000000000001,2983.0,232.3,18.6,False,,,
BRANFORD,2018,606.1,2918.0,216.9,17.9,False,,,
BRIDGEPORT,2002,1071.5,,,,True,,,
BRIDGEPORT,2003,2794.9,,1243.6,111.2,False,,,
BRIDGEPORT,2004,2916.3,,1238.0,111.2,False,,,
BRIDGEPORT,2005,2937.4,,1186.6,110.4,False,,,
BRIDGEPORT,2006,2966.7,,1213.2,115.4,False,,,
BRIDGEPORT,2007,2854.1,,1176.2,112.2,False,211764417.0,203566550.0,22224.65
BRIDGEPORT,2008,2910.5,20958.0,1187.2,119.4,False,218222813.0,209554648.0,21801.84
