report_year,FTE Count
2003,1275.5
2004,1294.4
2005,1518.8
2006,1585.7
2007,1675.0
2008,1870.0
2009,1919.2
2010,1967.6
2011,1985.2
2012,1991.4
2013,2024.6
2014,2057.5
2015,2208.6
2016,2257.8
2017,2296.3
2018,2277.1
