report_year,FTE Count
2003,1183.6
2004,1103.5
2005,1126.1
2006,1132.4
2007,2170.5
2008,1174.8
2009,1189.4
2010,1187.3
2011,1188.1
2012,1168.1
2013,1171.8
2014,1216.7
2015,1269.6
2016,1509.5
2017,1297.8
2018,1318.2
