report_year,FTE Count
2003,2100.5
2004,2112.3
2005,2196.1
2006,2211.8
2007,2281.3
2008,2399.9
2009,2438.8
2010,2367.4
2011,2376.9
2012,2400.2
2013,2446.6
2014,2540.3
2015,2613.2
2016,2651.4
2017,2627.5
2018,2573.9
