report_year,FTE Count
2003,6673.4
2004,6975.1
2005,7347.5
2006,7532.4
2007,8063.1
2008,8265.9
2009,8237.5
2010,8288.2
2011,8761.6
2012,8606.5
2013,8763.3
2014,9023.4
2015,10341.0
2016,11452.4
2017,10907.8
2018,11311.3
