City,report_year,FTE Count,EDSIGHT_ENROLLMENT,Teacher FTE Count,Counselor FTE Count,has_nulls,Education spending,Inter_Gov_Rev,Enrollment,Grant Payments,wealth_rank
ANDOVER,2002,30.3,,,,True,,,,,108.0
ANDOVER,2003,62.20000000000001,,23.6,,True,,,,,108.0
ANDOVER,2004,62.20000000000001,,23.8,,True,,,,,108.0
ANDOVER,2005,60.6,,25.8,,True,,,,,108.0
ANDOVER,2006,59.6,,24.8,,True,,,,,108.0
ANDOVER,2007,60.9,,23.8,,True,7507964.0,2438728.0,645.4,,108.0
ANDOVER,2008,57.99999999999999,347.0,25.3,,True,8829049.0,3810247.0,642.14,,108.0
ANDOVER,2009,59.39999999999999,334.0,25.3,,True,8056856.0,2720551.0,641.76,,108.0
ANDOVER,2010,59.99999999999999,336.0,26.3,,True,7844581.0,2378006.0,631.35,,108.0
ANDOVER,2011,59.7,334.0,26.3,,True,8009858.0,2431822.0,636.48,,108.0
ANDOVER,2012,57.6,314.0,25.2,,True,8408601.0,2835725.0,608.16,,108.0
ANDOVER,2013,56.6,315.0,24.7,,True,8562868.0,2930349.0,588.63,,108.0
ANDOVER,2014,56.6,299.0,24.7,,True,8800679.0,2979697.0,569.02,,108.0
ANDOVER,2015,52.1,275.0,19.7,,True,8576809.0,3019532.0,535.65,,108.0
ANDOVER,2016,54.3,250.0,22.8,,True,8780455.0,2961909.0,502.26,,108.0
ANDOVER,2017,45.3,225.0,17.8,,True,,,,,108.0
ANDOVER,2018,46.3,204.0,19.8,,True,,,,,108.0
ANSONIA,2002,112.1,,,,True,,,,,163.0
ANSONIA,2003,314.2,,136.8,9.0,False,,,,,163.0
ANSONIA,2004,346.9,,141.5,12.0,False,,,,11971916.0,163.0
ANSONIA,2005,363.1,,150.7,12.0,False,,,,12208280.0,163.0
ANSONIA,2006,368.70000000000016,,146.0,12.0,False,,,,12777406.0,163.0
ANSONIA,2007,489.8,,147.0,12.0,False,29660930.0,24511137.0,2831.14,12841646.0,163.0
ANSONIA,2008,391.9,2743.0,148.0,12.0,False,38418010.0,32920804.0,2867.43,14394773.0,163.0
ANSONIA,2009,404.5,2722.0,152.0,13.6,False,31520992.0,26302924.0,2854.78,14844939.0,163.0
ANSONIA,2010,373.2,2738.0,143.8,13.6,False,32282747.0,26465983.0,2867.97,14951227.0,163.0
ANSONIA,2011,399.6,2627.0,147.0,13.6,False,31895845.0,27166329.0,2795.42,14994722.0,163.0
ANSONIA,2012,389.6,2526.0,142.0,13.6,False,33764768.0,26864426.0,2710.56,14970112.0,163.0
ANSONIA,2013,376.7,2425.0,139.6,13.6,False,34124712.0,29957368.0,2628.64,15556139.0,163.0
ANSONIA,2014,391.7,2338.0,145.0,13.0,False,35784832.0,28229568.0,2528.6,15824433.0,163.0
ANSONIA,2015,347.2,2415.0,148.2,13.0,False,37029834.0,27853347.0,2585.1,16628198.0,163.0
ANSONIA,2016,353.5,2382.0,146.2,14.0,False,38507977.0,29372130.0,2524.46,16732022.0,163.0
ANSONIA,2017,344.0,2364.0,143.0,12.0,False,,,,16479494.0,163.0
ANSONIA,2018,341.8,2304.0,136.6,14.0,False,,,,16450373.0,163.0
ASHFORD,2002,23.7,,,,True,,,,,122.0
ASHFORD,2003,89.3,,37.0,1.0,True,,,,,122.0
ASHFORD,2004,91.8,,37.8,1.6,True,,,,,122.0
ASHFORD,2005,88.0,,37.4,1.6,True,,,,,122.0
ASHFORD,2006,92.4,,37.8,1.6,True,,,,,122.0
ASHFORD,2007,93.9,,37.0,1.6,True,9971001.0,4629417.0,759.63,,122.0
ASHFORD,2008,95.8,505.0,37.6,1.6,True,11716666.0,6761186.0,710.79,,122.0
ASHFORD,2009,97.0,488.0,39.6,1.6,True,10816718.0,5027254.0,695.89,,122.0
ASHFORD,2010,97.4,478.0,41.3,1.6,True,10885166.0,5101308.0,696.74,,122.0
ASHFORD,2011,96.2,479.0,39.5,2.0,True,11069550.0,4903431.0,701.78,,122.0
ASHFORD,2012,96.79999999999998,481.0,39.5,2.0,True,11084777.0,5120557.0,702.71,,122.0
ASHFORD,2013,92.4,440.0,38.6,2.0,True,11250309.0,4953913.0,642.8,,122.0
ASHFORD,2014,91.5,424.0,38.0,2.0,True,11758559.0,5109447.0,615.78,,122.0
ASHFORD,2015,95.8,417.0,39.0,2.0,True,11771983.0,5028901.0,597.72,,122.0
ASHFORD,2016,96.9,400.0,40.0,2.0,True,11825590.0,4985298.0,562.82,,122.0
