report_year,FTE Count
2003,2854.4
2004,2896.3
2005,2961.9
2006,3007.3
2007,3045.6
2008,3097.0
2009,3156.3
2010,3161.1
2011,3151.1
2012,3164.7
2013,3170.6
2014,3264.6
2015,3348.9
2016,3366.8
2017,3415.8
2018,3448.3
