report_year,FTE Count
2003,5366.5
2004,5411.7
2005,5571.3
2006,5638.6
2007,5675.5
2008,5781.9
2009,5816.6
2010,5817.8
2011,5774.1
2012,5817.5
2013,5841.5
2014,5879.4
2015,5831.9
2016,5931.8
2017,5955.8
2018,6057.7
