report_year,FTE Count
2003,781.1
2004,787.8
2005,793.6
2006,791.8
2007,797.1
2008,804.6
2009,817.2
2010,802.7
2011,783.4
2012,756.9
2013,742.1
2014,750.8
2015,742.0
2016,748.1
2017,750.6
2018,753.4
