report_year,FTE Count
2003,4420.0
2004,4380.0
2005,4465.4
2006,4377.9
2007,4441.0
2008,4554.9
2009,4426.5
2010,4265.6
2011,4239.1
2012,4209.7
2013,4143.4
2014,5231.9
2015,5365.9
2016,5064.0
2017,5169.8
2018,4775.4
