report_year,FTE Count
2003,22188.8
2004,22337.2
2005,22608.6
2006,23260.0
2007,23555.8
2008,24252.3
2009,23975.5
2010,23592.1
2011,23859.2
2012,23989.1
2013,24734.3
2014,24377.3
2015,25145.8
2016,25296.4
2017,24158.6
2018,24904.5
