VName,FYEAR,Payment
Cheshire,2014,9417401.0
Cheshire,2015,9560226.0
Cheshire,2016,9734658.0
Cheshire,2017,9411555.0
Cheshire,2018,8056873.0
Clinton,2004,5519025.0
Clinton,2005,5736379.0
Clinton,2006,5921071.0
Clinton,2007,5958535.0
Clinton,2008,6225601.0
Clinton,2009,6439027.0
Clinton,2010,5556228.0
Clinton,2011,5509250.0
Clinton,2012,6446019.0
Clinton,2013,6527971.0
Clinton,2014,6510363.0
Clinton,2015,6538203.0
Clinton,2016,6447066.0
Clinton,2017,6334159.0
Clinton,2018,5507703.0
Colchester,2004,10960227.0
Colchester,2005,11099736.0
Colchester,2006,11494647.0
Colchester,2007,11540190.0
Colchester,2008,12960643.0
Colchester,2009,13529614.0
Colchester,2010,11595838.0
Colchester,2011,11631081.0
Colchester,2012,13550768.0
Colchester,2013,13759751.0
Colchester,2014,13752393.0
Colchester,2015,13765334.0
Colchester,2016,13768328.0
Colchester,2017,13497726.0
Colchester,2018,11733946.0
Columbia,2004,1987407.0
Columbia,2005,2080493.0
Columbia,2006,2163767.0
Columbia,2007,2168721.0
Columbia,2008,2476740.0
Columbia,2009,2544233.0
Columbia,2010,2130438.0
Columbia,2011,2174381.0
Columbia,2012,2560015.0
Columbia,2013,2499739.0
Columbia,2014,2507669.0
Columbia,2015,2601682.0
Columbia,2016,2531958.0
Columbia,2017,2552497.0
Columbia,2018,2236816.0
Coventry,2004,7286420.0
Coventry,2005,7481219.0
Coventry,2006,7713993.0
Coventry,2007,7718622.0
Coventry,2008,8474296.0
Coventry,2009,8836100.0
Coventry,2010,7608905.0
Coventry,2011,7612054.0
Coventry,2012,8819476.0
Coventry,2013,8951443.0
Coventry,2014,8974835.0
Coventry,2015,8926913.0
Coventry,2016,8955329.0
Coventry,2017,8779526.0
Coventry,2018,7580352.0
Cromwell,2004,3000865.0
Cromwell,2005,3192777.0
Cromwell,2006,3306772.0
Cromwell,2007,3314005.0
Cromwell,2008,4133317.0
Cromwell,2009,4300089.0
Cromwell,2010,3699850.0
Cromwell,2011,3714179.0
Cromwell,2012,4308694.0
Cromwell,2013,4447519.0
Cromwell,2014,4466977.0
Cromwell,2015,4545886.0
Cromwell,2016,4581199.0
Cromwell,2017,4613849.0
Cromwell,2018,4068724.0
Danbury,2004,15211231.0
Danbury,2005,16223672.0
Danbury,2006,17328760.0
Danbury,2007,17582239.0
Danbury,2008,21867666.0
Danbury,2009,22584313.0
Danbury,2010,19395164.0
Danbury,2011,19630936.0
Danbury,2012,22801561.0
Danbury,2013,22904960.0
Danbury,2014,22976456.0
Danbury,2015,22966531.0
Danbury,2016,22832338.0
Danbury,2017,22921181.0
Danbury,2018,22637687.0
Darien,2004,629000.0
Darien,2005,1055770.0
Darien,2006,1108345.0
Darien,2007,1165460.0
Darien,2008,1673060.0
Darien,2009,1743772.0
Darien,2010,1310112.0
Darien,2011,1649308.0
Darien,2012,1716068.0
Darien,2013,1732977.0
Darien,2014,1651109.0
Darien,2015,1469077.0
Darien,2016,1326476.0
Darien,2017,502817.0
Darien,2018,416116.0
Derby,2004,5714213.0
Derby,2005,5914368.0
Derby,2006,6059406.0
Derby,2007,6062264.0
Derby,2008,6545641.0
Derby,2009,6830535.0
Derby,2010,5892769.0
Derby,2011,5828232.0
Derby,2012,6856032.0
Derby,2013,6855153.0
Derby,2014,6836472.0
Derby,2015,6959232.0
Derby,2016,6842362.0
Derby,2017,6893301.0
Derby,2018,6857372.0
East Granby,2004,655107.0
East Granby,2005,761252.0
East Granby,2006,808771.0
East Granby,2007,821193.0
East Granby,2008,1267929.0
East Granby,2009,1306165.0
East Granby,2010,1124490.0
East Granby,2011,1119043.0
East Granby,2012,1304900.0
East Granby,2013,1353434.0
East Granby,2014,1366004.0
East Granby,2015,1380756.0
East Granby,2016,1420768.0
East Granby,2017,1427087.0
East Granby,2018,1257143.0
East Haddam,2004,3011278.0
East Haddam,2005,2999488.0
East Haddam,2006,3118298.0
East Haddam,2007,3094117.0
East Haddam,2008,3608535.0
East Haddam,2009,3646494.0
East Haddam,2010,3178943.0
East Haddam,2011,3187690.0
East Haddam,2012,3697641.0
East Haddam,2013,3756944.0
East Haddam,2014,3766860.0
East Haddam,2015,3765704.0
East Haddam,2016,3682589.0
East Haddam,2017,3731058.0
East Haddam,2018,3205233.0
East Hampton,2004,5917573.0
East Hampton,2005,6132373.0
East Hampton,2006,6437800.0
East Hampton,2007,6459851.0
East Hampton,2008,7298952.0
East Hampton,2009,7598829.0
East Hampton,2010,6490084.0
East Hampton,2011,6520991.0
East Hampton,2012,7559422.0
East Hampton,2013,7673234.0
East Hampton,2014,7711108.0
East Hampton,2015,7672767.0
East Hampton,2016,7723810.0
East Hampton,2017,7551032.0
East Hampton,2018,6563289.0
East Hartford,2004,31529439.0
East Hartford,2005,32593156.0
East Hartford,2006,34848926.0
East Hartford,2007,34553429.0
East Hartford,2008,38433435.0
East Hartford,2009,40938236.0
East Hartford,2010,35558393.0
East Hartford,2011,35748313.0
East Hartford,2012,41786570.0
East Hartford,2013,41649474.0
East Hartford,2014,41650528.0
East Hartford,2015,41900564.0
East Hartford,2016,41687708.0
East Hartford,2017,41656477.0
East Hartford,2018,41503095.0
East Haven,2004,15982675.0
East Haven,2005,16291667.0
East Haven,2006,16777696.0
East Haven,2007,16834740.0
East Haven,2008,17983752.0
East Haven,2009,18748275.0
East Haven,2010,16095097.0
East Haven,2011,16047209.0
East Haven,2012,18780393.0
East Haven,2013,18778306.0
East Haven,2014,18447831.0
East Haven,2015,18755463.0
East Haven,2016,18699726.0
East Haven,2017,18774760.0
East Haven,2018,18647492.0
East Lyme,2004,6191574.0
East Lyme,2005,6317553.0
East Lyme,2006,6524033.0
East Lyme,2007,6526774.0
East Lyme,2008,6810442.0
East Lyme,2009,7140827.0
East Lyme,2010,6020201.0
East Lyme,2011,6098146.0
East Lyme,2012,7146111.0
East Lyme,2013,7130164.0
East Lyme,2014,7128356.0
East Lyme,2015,7063959.0
East Lyme,2016,7150153.0
East Lyme,2017,6949779.0
East Lyme,2018,5971838.0
East Windsor,2004,4215397.0
East Windsor,2005,4337368.0
East Windsor,2006,4529042.0
East Windsor,2007,4619977.0
East Windsor,2008,5280932.0
East Windsor,2009,5464110.0
East Windsor,2010,4682976.0
East Windsor,2011,4706303.0
East Windsor,2012,5492363.0
East Windsor,2013,5465792.0
East Windsor,2014,5471194.0
East Windsor,2015,5475227.0
East Windsor,2016,5451690.0
East Windsor,2017,5486554.0
East Windsor,2018,5448142.0
Eastford,2004,893729.0
Eastford,2005,930505.0
Eastford,2006,958494.0
Eastford,2007,945585.0
Eastford,2008,1051145.0
Eastford,2009,1109866.0
Eastford,2010,951531.0
Eastford,2011,951533.0
Eastford,2012,1109873.0
Eastford,2013,1116844.0
Eastford,2014,1116844.0
Eastford,2015,1116844.0
