Assignment Category,,Administrators  Coordinators and Department Chairs - District Central Office,Administrators  Coordinators and Department Chairs - School Level,Counselors  Social Workers  and School Psychologists,General Education - Paraprofessional Instructional Assistants,General Education - Teachers and Instructors,Instructional Specialists Who Support Teachers,Library/Media - Specialists (Certified),Library/Media - Support Staff,Other Staff Providing Non-Instructional Services/Support,School Nurses,Special Education - Paraprofessional Instructional Assistants,Special Education - Teachers and Instructors
Educator Type,,Certified,Certified,Certified,Non-Certified,Certified,Certified,Certified,Non-Certified,Certified/Non-Certified,Non-Certified,Non-Certified,Certified
City,report_year,,,,,,,,,,,,
ASHFORD,2015,1.0,1.6,2.0,7.0,39.0,1.0,,1.0,26.7,1.0,11.5,4.0
ASHFORD,2016,3.7,,2.0,6.0,40.0,1.0,,1.0,25.2,1.0,13.0,4.0
BARKHAMSTED,2008,,1.4,1.1,4.9,20.7,1.2,1.0,1.0,13.6,1.0,7.2,3.0
BARKHAMSTED,2015,0.4,1.0,,3.8,21.7,0.5,1.0,0.0,15.2,1.0,10.1,1.0
BARKHAMSTED,2016,0.4,1.0,,3.3,19.9,1.5,1.0,0.0,16.5,1.0,12.9,1.0
BETHANY,2007,1.0,2.0,2.2,7.0,40.4,1.0,,1.6,20.9,1.0,15.7,4.5
BETHANY,2008,1.0,2.0,2.4,6.1,38.4,1.0,,1.9,20.6,1.0,14.8,5.5
BETHANY,2009,1.0,2.0,2.4,3.8,38.9,1.0,,1.7,22.5,1.0,15.7,6.0
BETHANY,2010,1.0,2.0,2.4,2.8,39.9,4.0,,1.7,21.9,1.0,15.0,7.0
BETHANY,2011,1.0,2.0,1.8,1.8,37.9,3.0,,0.4,21.5,1.0,14.6,7.0
BETHANY,2012,1.0,2.0,2.0,1.8,36.9,3.0,,0.4,21.7,1.0,15.2,5.0
BETHANY,2013,1.0,2.0,2.4,1.8,36.9,2.8,,0.4,21.7,1.0,15.2,7.0
BETHANY,2014,1.0,2.0,2.4,2.1,36.0,2.8,,0.4,20.9,1.0,15.3,6.0
BOZRAH,2007,0.5,1.5,0.5,3.8,21.5,1.5,,0.0,14.0,1.0,6.0,3.5
BOZRAH,2008,0.5,1.5,0.5,1.8,20.0,1.0,,1.0,14.0,1.0,6.0,3.5
BOZRAH,2009,0.4,0.8,0.4,0.0,18.5,1.0,,1.0,13.4,1.0,4.0,4.0
BOZRAH,2010,0.4,1.4,0.4,0.0,16.1,1.0,,1.0,13.4,0.8,7.0,5.4
BOZRAH,2011,0.5,1.0,0.5,0.0,18.0,1.0,,1.0,9.2,1.0,8.0,4.0
BOZRAH,2012,0.5,1.0,0.5,0.0,17.5,1.0,,1.0,9.2,1.0,7.0,4.0
BOZRAH,2013,0.7,1.0,0.8,0.0,18.5,1.0,,1.0,9.4,1.0,8.0,4.0
