City,report_year,has_nulls
LAKEVILLE,2017,True
LAKEVILLE,2018,True
LEBANON,2002,True
LEDYARD,2002,True
LISBON,2002,True
LISBON,2008,True
LISBON,2009,True
LISBON,2010,True
LISBON,2011,True
LISBON,2012,True
LISBON,2013,True
LISBON,2014,True
LITCHFIELD,2002,True
MADISON,2002,True
MANCHESTER,2002,True
MARLBOROUGH,2002,True
MARLBOROUGH,2016,True
MERIDEN,2002,True
MIDDLETOWN,2002,True
MILFORD,2002,True
MONROE,2002,True
MOODUS,2002,True
MYSTIC,2002,True
NAUGATUCK,2002,True
NEW BRITAIN,2002,True
NEW CANAAN,2002,True
NEW FAIRFIELD,2002,True
NEW HARTFORD,2002,True
NEW HAVEN,2002,True
NEW LONDON,2002,True
NEW LONDON,2016,True
NEW LONDON,2017,True
NEW LONDON,2018,True
NEW MILFORD,2002,True
NEWINGTON,2002,True
NEWTOWN,2002,True
NORFOLK,2002,True
NORFOLK,2015,True
NORFOLK,2016,True
NORFOLK,2017,True
NORFOLK,2018,True
NORTH FRANKLIN,2002,True
NORTH FRANKLIN,2003,True
NORTH FRANKLIN,2004,True
NORTH FRANKLIN,2005,True
NORTH FRANKLIN,2006,True
NORTH FRANKLIN,2007,True
NORTH FRANKLIN,2008,True
NORTH FRANKLIN,2009,True
NORTH FRANKLIN,2010,True
NORTH FRANKLIN,2011,True
NORTH FRANKLIN,2012,True
NORTH FRANKLIN,2013,True
NORTH FRANKLIN,2014,True
NORTH FRANKLIN,2015,True
NORTH FRANKLIN,2016,True
NORTH FRANKLIN,2017,True
NORTH FRANKLIN,2018,True
NORTH GROSVENOR,2002,True
NORTH GROSVENOR,2013,True
NORTH HAVEN,2002,True
NORTH STONINGTON,2002,True
NORTHFORD,2002,True
NORWALK,2002,True
NORWALK,2010,True
NORWALK,2012,True
NORWALK,2013,True
NORWICH,2002,True
OAKDALE,2002,True
OLD MYSTIC,2002,True
OLD SAYBROOK,2002,True
ORANGE,2002,True
OXFORD,2002,True
PLAINFIELD,2002,True
PLAINVILLE,2002,True
POMFRET CENTER,2002,True
POMFRET CENTER,2012,True
POMFRET CENTER,2013,True
POMFRET CENTER,2014,True
POMFRET CENTER,2016,True
POMFRET CENTER,2017,True
POMFRET CENTER,2018,True
PORTLAND,2002,True
PRESTON,2002,True
PRESTON,2003,True
PRESTON,2005,True
PRESTON,2006,True
PRESTON,2007,True
PUTNAM,2002,True
RIDGEFIELD,2002,True
ROCKY HILL,2002,True
SALEM,2002,True
SALEM,2012,True
SALEM,2015,True
SCOTLAND,2002,True
SCOTLAND,2003,True
SCOTLAND,2004,True
SCOTLAND,2005,True
SCOTLAND,2006,True
SCOTLAND,2007,True
SCOTLAND,2008,True
SCOTLAND,2009,True
SCOTLAND,2010,True
SCOTLAND,2011,True
SCOTLAND,2012,True
SCOTLAND,2013,True
SCOTLAND,2014,True
SCOTLAND,2015,True
SEYMOUR,2002,True
SHARON,2002,True
SHARON,2005,True
SHARON,2016,True
SHARON,2017,True
SHELTON,2002,True
SHERMAN,2002,True
SIMSBURY,2002,True
SOMERS,2002,True
SOMERS,2010,True
SOUTH WINDSOR,2002,True
SOUTHINGTON,2002,True
STAFFORD SPRINGS,2002,True
STAMFORD,2002,True
STERLING,2002,True
STERLING,2003,True
STERLING,2004,True
STERLING,2005,True
STERLING,2006,True
STERLING,2007,True
STERLING,2017,True
STERLING,2018,True
STORRS,2002,True
STRATFORD,2002,True
SUFFIELD,2002,True
TERRYVILLE,2002,True
TERRYVILLE,2003,True
TERRYVILLE,2004,True
TERRYVILLE,2013,True
TERRYVILLE,2017,True
TERRYVILLE,2018,True
THOMASTON,2002,True
TOLLAND,2002,True
TORRINGTON,2002,True
TRUMBULL,2002,True
UNION,2002,True
UNION,2003,True
UNION,2004,True
UNION,2005,True
UNION,2006,True
UNION,2007,True
UNION,2008,True
UNION,2009,True
UNION,2010,True
UNION,2011,True
UNION,2012,True
UNION,2013,True
UNION,2014,True
UNION,2015,True
UNION,2016,True
UNION,2017,True
UNION,2018,True
VERNON,2002,True
VOLUNTOWN,2002,True
VOLUNTOWN,2003,True
VOLUNTOWN,2004,True
VOLUNTOWN,2005,True
VOLUNTOWN,2006,True
VOLUNTOWN,2007,True
VOLUNTOWN,2008,True
VOLUNTOWN,2015,True
VOLUNTOWN,2016,True
VOLUNTOWN,2017,True
VOLUNTOWN,2018,True
WALLINGFORD,2002,True
WATERBURY,2002,True
WATERFORD,2002,True
WATERTOWN,2002,True
WEST HARTFORD,2002,True
WEST HAVEN,2002,True
WESTBROOK,2002,True
WESTON,2002,True
WESTON,2006,True
WESTPORT,2002,True
WETHERSFIELD,2002,True
WILLIMANTIC,2002,True
WILLINGTON,2002,True
WILLINGTON,2003,True
WILLINGTON,2004,True
WILLINGTON,2005,True
WILLINGTON,2006,True
WILTON,2002,True
WINDSOR,2002,True
WINDSOR LOCKS,2002,True
WINSTED,2002,True
WINSTED,2004,True
WINSTED,2005,True
WINSTED,2006,True
WINSTED,2007,True
WINSTED,2009,True
WINSTED,2010,True
WINSTED,2011,True
WINSTED,2012,True
WINSTED,2013,True
WOLCOTT,2002,True
WOLCOTT,2010,True
WOODBRIDGE,2002,True
WOODBRIDGE,2015,True
WOODSTOCK,2002,True
