City,report_year,FTE Count,has_nulls,Education spending,Inter_Gov_Rev,Enrollment
BRISTOL,2016,1228.4,False,105974983.0,65965354.0,8392.78
BROOKFIELD,2007,445.5,False,34316860.0,4221621.0,3066.44
BROOKFIELD,2008,443.6,False,45501772.0,14915372.0,2991.2
BROOKFIELD,2009,435.8,False,37278699.0,5740069.0,3029.69
BROOKFIELD,2010,374.7000000000001,False,36461447.0,4975659.0,2988.01
BROOKFIELD,2011,433.9,False,38063564.0,5030421.0,2939.81
BROOKFIELD,2012,436.0,False,39846302.0,6795024.0,2904.83
BROOKFIELD,2013,434.5,False,41347563.0,6510324.0,2836.39
BROOKFIELD,2014,432.3,False,42881832.0,7044108.0,2826.29
BROOKFIELD,2015,430.4,False,43046911.0,6750156.0,2756.13
BROOKFIELD,2016,428.6,False,44101873.0,6560717.0,2731.36
BROOKLYN,2007,151.1,False,14303377.0,7697320.0,1373.55
BROOKLYN,2008,147.4,False,15351712.0,8395352.0,1349.13
BROOKLYN,2009,157.1,False,16034423.0,8623293.0,1314.52
BROOKLYN,2010,152.50000000000003,False,16296384.0,8629250.0,1312.93
BROOKLYN,2011,142.70000000000005,False,16379323.0,9114146.0,1285.65
BROOKLYN,2012,99.9,False,16973810.0,9690564.0,1264.51
BROOKLYN,2013,125.0,False,17370720.0,9758964.0,1260.76
BROOKLYN,2014,168.0,False,18141251.0,9903495.0,1239.0
BROOKLYN,2015,175.7,False,18539569.0,9729067.0,1205.71
BROOKLYN,2016,76.10000000000002,True,17955158.0,8359463.0,1225.4
CANAAN,2007,59.90000000000001,True,2964982.0,662654.0,150.95
CANAAN,2008,59.7,False,3296366.0,1116548.0,144.31
CANAAN,2009,56.8,True,2718795.0,595087.0,130.5
CANAAN,2010,59.5,False,2787951.0,584938.0,136.1
CANAAN,2011,58.5,False,2853093.0,603521.0,139.99
CANAAN,2012,57.5,False,3215901.0,688386.0,141.0
CANAAN,2013,57.99999999999999,False,3244772.0,687482.0,117.4
CANAAN,2014,59.2,False,3040647.0,802830.0,114.88
CANAAN,2015,56.99999999999999,True,3216778.0,860748.0,111.1
CANAAN,2016,58.1,True,3111571.0,852229.0,111.45
CANTERBURY,2007,116.2,True,10486071.0,6042062.0,825.0
CANTERBURY,2008,108.0,True,12877890.0,8136662.0,829.91
CANTERBURY,2009,106.9,True,11115591.0,6521505.0,824.7
CANTERBURY,2010,104.5,True,11317718.0,6034454.0,770.26
CANTERBURY,2011,109.2,True,11230443.0,6051232.0,712.94
CANTERBURY,2012,106.0,True,11472655.0,6286761.0,720.98
CANTERBURY,2013,107.8,True,12149799.0,6686359.0,703.89
CANTERBURY,2014,106.4,True,12162679.0,6600658.0,659.64
CANTERBURY,2015,85.8,True,12296025.0,6430703.0,655.62
CANTERBURY,2016,111.0,True,12129756.0,6097579.0,648.58
CHAPLIN,2007,47.60000000000001,True,5366747.0,2627308.0,350.37
CHAPLIN,2008,44.3,True,5602595.0,2658993.0,342.26
CHAPLIN,2009,47.0,True,5908056.0,2773117.0,314.11
CHAPLIN,2010,45.7,True,5945322.0,2722137.0,290.45
