"Student Counts by District and Year"
"All Districts"
"2016-17"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",1066
"Amistad Academy District","=""2790013""",1057
"Andover School District","=""0010011""",225
"Ansonia School District","=""0020011""",2364
"Area Cooperative Educational Services","=""2440014""",1947
"Ashford School District","=""0030011""",407
"Avon School District","=""0040011""",3288
"Barkhamsted School District","=""0050011""",255
"Berlin School District","=""0070011""",2805
"Bethany School District","=""0080011""",356
"Bethel School District","=""0090011""",2996
"Bloomfield School District","=""0110011""",2157
"Bolton School District","=""0120011""",820
"Booker T. Washington Academy District","=""2950013""",241
"Bozrah School District","=""0130011""",208
"Branford School District","=""0140011""",2983
"Brass City Charter School District","=""2900013""",219
"Bridgeport Achievement First District","=""2850013""",1044
"Bridgeport School District","=""0150011""",21222
"Bristol School District","=""0170011""",8073
"Brookfield School District","=""0180011""",2673
"Brooklyn School District","=""0190011""",863
"Canaan School District","=""0210011""",73
"Canterbury School District","=""0220011""",471
"Canton School District","=""0230011""",1623
"Capital Preparatory Harbor School Inc. District","=""2970013""",254
"Capitol Region Education Council","=""2410014""",8590
"Chaplin School District","=""0240011""",158
"Cheshire School District","=""0250011""",4358
"Chester School District","=""0260011""",206
"Clinton School District","=""0270011""",1790
"Colchester School District","=""0280011""",2488
"Colebrook School District","=""0290011""",78
"Columbia School District","=""0300011""",434
"Common Ground High School District","=""2680013""",200
"Connecticut Technical Education and Career System","=""9000016""",10556
"Cooperative Educational Services","=""2430014""",842
"Cornwall School District","=""0310011""",72
"Coventry School District","=""0320011""",1625
"Cromwell School District","=""0330011""",2004
"Danbury School District","=""0340011""",11371
"Darien School District","=""0350011""",4828
"Deep River School District","=""0360011""",285
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",1387
"East Granby School District","=""0400011""",866
"East Haddam School District","=""0410011""",1032
"East Hampton School District","=""0420011""",1876
"East Hartford School District","=""0430011""",6734
"East Haven School District","=""0440011""",2996
"East Lyme School District","=""0450011""",2782
"East Windsor School District","=""0470011""",1049
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",413
"Eastford School District","=""0390011""",143
"Easton School District","=""0460011""",882
"EdAdvance","=""2420014""",219
"Ellington School District","=""0480011""",2647
"Elm City College Preparatory School District","=""2890013""",726
"Elm City Montessori School District","=""2910013""",140
"Enfield School District","=""0490011""",5249
"Essex School District","=""0500011""",371
"Explorations District","=""2720013""",92
"Fairfield School District","=""0510011""",10027
"Farmington School District","=""0520011""",4078
"Franklin School District","=""0530011""",163
"Glastonbury School District","=""0540011""",5996
"Granby School District","=""0560011""",1880
"Great Oaks Charter School District","=""2940013""",324
"Greenwich School District","=""0570011""",8971
"Griswold School District","=""0580011""",1848
"Groton School District","=""0590011""",4461
"Guilford School District","=""0600011""",3413
"Hamden School District","=""0620011""",5493
"Hampton School District","=""0630011""",105
"Hartford School District","=""0640011""",20891
"Hartland School District","=""0650011""",189
"Hebron School District","=""0670011""",706
"Highville Charter School District","=""2860013""",502
"Integrated Day Charter School District","=""2640013""",330
"Interdistrict School for Arts and Comm District","=""2650013""",270
"Jumoke Academy District","=""2610013""",753
"Kent School District","=""0680011""",235
"Killingly School District","=""0690011""",2550
"Learn","=""2450014""",2421
"Lebanon School District","=""0710011""",1020
"Ledyard School District","=""0720011""",2394
"Lisbon School District","=""0730011""",401
"Litchfield School District","=""0740011""",946
"Madison School District","=""0760011""",2941
"Manchester School District","=""0770011""",6290
"Mansfield School District","=""0780011""",1217
"Marlborough School District","=""0790011""",535
"Meriden School District","=""0800011""",7950
"Middletown School District","=""0830011""",4702
"Milford School District","=""0840011""",5926
"Monroe School District","=""0850011""",3189
"Montville School District","=""0860011""",2210
"Naugatuck School District","=""0880011""",4281
"New Beginnings Inc Family Academy District","=""2800013""",499
"New Britain School District","=""0890011""",10144
"New Canaan School District","=""0900011""",4260
"New Fairfield School District","=""0910011""",2394
"New Hartford School District","=""0920011""",444
"New Haven School District","=""0930011""",21981
"New London School District","=""0950011""",3559
"New Milford School District","=""0960011""",4217
"Newington School District","=""0940011""",4069
"Newtown School District","=""0970011""",4470
"Norfolk School District","=""0980011""",102
"North Branford School District","=""0990011""",1842
"North Canaan School District","=""1000011""",278
"North Haven School District","=""1010011""",3162
"North Stonington School District","=""1020011""",731
"Norwalk School District","=""1030011""",11498
"Norwich Free Academy District","=""9010022""",2338
"Norwich School District","=""1040011""",3652
"Odyssey Community School District","=""2630013""",328
"Old Saybrook School District","=""1060011""",1317
"Orange School District","=""1070011""",1167
"Oxford School District","=""1080011""",1952
"Park City Prep Charter School District","=""2830013""",360
"Path Academy District","=""2930013""",157
"Plainfield School District","=""1090011""",2292
"Plainville School District","=""1100011""",2366
"Plymouth School District","=""1110011""",1504
"Pomfret School District","=""1120011""",377
"Portland School District","=""1130011""",1337
"Preston School District","=""1140011""",430
"Putnam School District","=""1160011""",1188
"Redding School District","=""1170011""",937
"Regional School District 01","=""2010012""",426
"Regional School District 04","=""2040012""",952
"Regional School District 05","=""2050012""",2248
"Regional School District 06","=""2060012""",975
"Regional School District 07","=""2070012""",1104
"Regional School District 08","=""2080012""",1558
"Regional School District 09","=""2090012""",970
"Regional School District 10","=""2100012""",2366
"Regional School District 11","=""2110012""",251
"Regional School District 12","=""2120012""",710
"Regional School District 13","=""2130012""",1745
"Regional School District 14","=""2140012""",1768
"Regional School District 15","=""2150012""",3729
"Regional School District 16","=""2160012""",2211
"Regional School District 17","=""2170012""",2117
"Regional School District 18","=""2180012""",1308
"Regional School District 19","=""2190012""",1204
"Ridgefield School District","=""1180011""",4984
"Rocky Hill School District","=""1190011""",2621
"Salem School District","=""1210011""",409
"Salisbury School District","=""1220011""",280
"Scotland School District","=""1230011""",116
"Seymour School District","=""1240011""",2158
"Sharon School District","=""1250011""",150
"Shelton School District","=""1260011""",4815
"Sherman School District","=""1270011""",315
"Side By Side Charter School District","=""2700013""",236
"Simsbury School District","=""1280011""",4161
"Somers School District","=""1290011""",1431
"South Windsor School District","=""1320011""",4188
"Southington School District","=""1310011""",6582
"Sprague School District","=""1330011""",339
"Stafford School District","=""1340011""",1526
"Stamford Academy District","=""2820013""",148
"Stamford Charter School for Excellence District","=""2960013""",217
"Stamford School District","=""1350011""",16100
"Sterling School District","=""1360011""",431
"Stonington School District","=""1370011""",2108
"Stratford School District","=""1380011""",6856
"Suffield School District","=""1390011""",2281
"The Bridge Academy District","=""2690013""",281
"The Gilbert School District","=""9020022""",562
"Thomaston School District","=""1400011""",898
