"Student Counts by District and Year"
"All Districts"
"2016-17"

"District","District Code","Count"
"Thompson School District","=""1410011""",1018
"Tolland School District","=""1420011""",2484
"Torrington School District","=""1430011""",4201
"Trailblazers Academy District","=""2780013""",129
"Trumbull School District","=""1440011""",6685
"Unified School District #1","=""3360015""",363
"Unified School District #2","=""3470015""",156
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",3224
"Voluntown School District","=""1470011""",285
"Wallingford School District","=""1480011""",5908
"Waterbury School District","=""1510011""",19001
"Waterford School District","=""1520011""",2535
"Watertown School District","=""1530011""",2782
"West Hartford School District","=""1550011""",9765
"West Haven School District","=""1560011""",5786
"Westbrook School District","=""1540011""",767
"Weston School District","=""1570011""",2374
"Westport School District","=""1580011""",5623
"Wethersfield School District","=""1590011""",3596
"Willington School District","=""1600011""",428
"Wilton School District","=""1610011""",4078
"Winchester School District","=""1620011""",565
"Windham School District","=""1630011""",3337
"Windsor Locks School District","=""1650011""",1572
"Windsor School District","=""1640011""",3212
"Wolcott School District","=""1660011""",2285
"Woodbridge School District","=""1670011""",780
"Woodstock Academy District","=""9030022""",1065
"Woodstock School District","=""1690011""",842
"Total","=""""",538893

