"Student Counts by District and Year"
"All Districts"
"2008-09"

"District","District Code","Count"
"Tolland School District","=""1420011""",3159
"Torrington School District","=""1430011""",4758
"Trailblazers Academy District","=""2780013""",150
"Trumbull School District","=""1440011""",6956
"Unified School District #1","=""3360015""",1018
"Unified School District #2","=""3470015""",336
"Union School District","=""1450011""",79
"Vernon School District","=""1460011""",3606
"Voluntown School District","=""1470011""",309
"Wallingford School District","=""1480011""",6828
"Waterbury School District","=""1510011""",18437
"Waterford School District","=""1520011""",2900
"Watertown School District","=""1530011""",3346
"West Hartford School District","=""1550011""",10129
"West Haven School District","=""1560011""",6313
"Westbrook School District","=""1540011""",970
"Weston School District","=""1570011""",2586
"Westport School District","=""1580011""",5782
"Wethersfield School District","=""1590011""",3832
"Willington School District","=""1600011""",568
"Wilton School District","=""1610011""",4396
"Winchester School District","=""1620011""",1004
"Windham School District","=""1630011""",3523
"Windsor Locks School District","=""1650011""",1858
"Windsor School District","=""1640011""",4004
"Wolcott School District","=""1660011""",2865
"Woodbridge School District","=""1670011""",756
"Woodstock Academy District","=""9030022""",1184
"Woodstock School District","=""1690011""",930
"Total","=""""",571046

