"Student Counts by District and Year"
"All Districts"
"2015-16"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",1063
"Amistad Academy District","=""2790013""",1036
"Andover School District","=""0010011""",250
"Ansonia School District","=""0020011""",2382
"Area Cooperative Educational Services","=""2440014""",1948
"Ashford School District","=""0030011""",400
"Avon School District","=""0040011""",3285
"Barkhamsted School District","=""0050011""",286
"Berlin School District","=""0070011""",2879
"Bethany School District","=""0080011""",383
"Bethel School District","=""0090011""",2971
"Bloomfield School District","=""0110011""",2078
"Bolton School District","=""0120011""",820
"Booker T. Washington Academy District","=""2950013""",180
"Bozrah School District","=""0130011""",202
"Branford School District","=""0140011""",3066
"Brass City Charter School District","=""2900013""",186
"Bridgeport Achievement First District","=""2850013""",1016
"Bridgeport School District","=""0150011""",21191
"Bristol School District","=""0170011""",8170
"Brookfield School District","=""0180011""",2692
"Brooklyn School District","=""0190011""",908
"Canaan School District","=""0210011""","*"
"Canterbury School District","=""0220011""",494
"Canton School District","=""0230011""",1633
"Capital Preparatory Harbor School Inc. District","=""2970013""",249
"Capitol Region Education Council","=""2410014""",8354
"Chaplin School District","=""0240011""",176
"Cheshire School District","=""0250011""",4413
"Chester School District","=""0260011""",211
"Clinton School District","=""0270011""",1822
"Colchester School District","=""0280011""",2563
"Colebrook School District","=""0290011""",84
"Columbia School District","=""0300011""",454
"Common Ground High School District","=""2680013""",186
"Connecticut Technical Education and Career System","=""9000016""",10710
"Cooperative Educational Services","=""2430014""",869
"Cornwall School District","=""0310011""",92
"Coventry School District","=""0320011""",1634
"Cromwell School District","=""0330011""",1997
"Danbury School District","=""0340011""",11157
"Darien School District","=""0350011""",4884
"Deep River School District","=""0360011""",306
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",1403
"East Granby School District","=""0400011""",878
"East Haddam School District","=""0410011""",1073
"East Hampton School District","=""0420011""",1893
"East Hartford School District","=""0430011""",6882
"East Haven School District","=""0440011""",3051
"East Lyme School District","=""0450011""",2792
"East Windsor School District","=""0470011""",1105
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",425
"Eastford School District","=""0390011""",134
"Easton School District","=""0460011""",922
"EdAdvance","=""2420014""",227
"Ellington School District","=""0480011""",2633
"Elm City College Preparatory School District","=""2890013""",703
"Elm City Montessori School District","=""2910013""",113
"Enfield School District","=""0490011""",5189
"Essex School District","=""0500011""",420
"Explorations District","=""2720013""",92
"Fairfield School District","=""0510011""",10091
"Farmington School District","=""0520011""",4096
"Franklin School District","=""0530011""",170
"Glastonbury School District","=""0540011""",6069
"Granby School District","=""0560011""",1961
"Great Oaks Charter School District","=""2940013""",226
"Greenwich School District","=""0570011""",8825
"Griswold School District","=""0580011""",1891
"Groton School District","=""0590011""",4519
"Guilford School District","=""0600011""",3419
"Hamden School District","=""0620011""",5547
"Hampton School District","=""0630011""",101
"Hartford School District","=""0640011""",21463
"Hartland School District","=""0650011""",188
"Hebron School District","=""0670011""",732
"Highville Charter School District","=""2860013""",462
"Integrated Day Charter School District","=""2640013""",331
