"Student Counts by District and Year"
"All Districts"
"2015-16"

"District","District Code","Count"
"Interdistrict School for Arts and Comm District","=""2650013""",271
"Jumoke Academy District","=""2610013""",734
"Kent School District","=""0680011""",237
"Killingly School District","=""0690011""",2596
"Learn","=""2450014""",2373
"Lebanon School District","=""0710011""",1054
"Ledyard School District","=""0720011""",2445
"Lisbon School District","=""0730011""",392
"Litchfield School District","=""0740011""",971
"Madison School District","=""0760011""",3027
"Manchester School District","=""0770011""",6243
"Mansfield School District","=""0780011""",1251
"Marlborough School District","=""0790011""",556
"Meriden School District","=""0800011""",7993
"Middletown School District","=""0830011""",4701
"Milford School District","=""0840011""",6152
"Monroe School District","=""0850011""",3180
"Montville School District","=""0860011""",2256
"Naugatuck School District","=""0880011""",4246
"New Beginnings Inc Family Academy District","=""2800013""",499
"New Britain School District","=""0890011""",10071
"New Canaan School District","=""0900011""",4227
"New Fairfield School District","=""0910011""",2497
"New Hartford School District","=""0920011""",470
"New Haven School District","=""0930011""",21725
"New London School District","=""0950011""",3381
"New Milford School District","=""0960011""",4245
"Newington School District","=""0940011""",4060
"Newtown School District","=""0970011""",4588
"Norfolk School District","=""0980011""",116
"North Branford School District","=""0990011""",1889
"North Canaan School District","=""1000011""",260
"North Haven School District","=""1010011""",3188
"North Stonington School District","=""1020011""",728
"Norwalk School District","=""1030011""",11409
"Norwich Free Academy District","=""9010022""",2282
"Norwich School District","=""1040011""",3705
"Odyssey Community School District","=""2630013""",328
"Old Saybrook School District","=""1060011""",1346
"Orange School District","=""1070011""",1179
"Oxford School District","=""1080011""",1974
"Park City Prep Charter School District","=""2830013""",360
"Path Academy District","=""2930013""",143
"Plainfield School District","=""1090011""",2330
"Plainville School District","=""1100011""",2409
"Plymouth School District","=""1110011""",1522
"Pomfret School District","=""1120011""",402
"Portland School District","=""1130011""",1360
"Preston School District","=""1140011""",445
"Putnam School District","=""1160011""",1195
"Redding School District","=""1170011""",954
"Regional School District 01","=""2010012""",446
"Regional School District 04","=""2040012""",928
"Regional School District 05","=""2050012""",2270
"Regional School District 06","=""2060012""",986
"Regional School District 07","=""2070012""",1100
"Regional School District 08","=""2080012""",1601
"Regional School District 09","=""2090012""",1028
"Regional School District 10","=""2100012""",2416
"Regional School District 11","=""2110012""",253
"Regional School District 12","=""2120012""",732
"Regional School District 13","=""2130012""",1751
"Regional School District 14","=""2140012""",1768
"Regional School District 15","=""2150012""",3793
"Regional School District 16","=""2160012""",2270
"Regional School District 17","=""2170012""",2133
"Regional School District 18","=""2180012""",1339
"Regional School District 19","=""2190012""",1213
"Ridgefield School District","=""1180011""",5052
"Rocky Hill School District","=""1190011""",2610
"Salem School District","=""1210011""",384
"Salisbury School District","=""1220011""",274
"Scotland School District","=""1230011""",119
"Seymour School District","=""1240011""",2215
"Sharon School District","=""1250011""",160
"Shelton School District","=""1260011""",4925
"Sherman School District","=""1270011""",337
"Side By Side Charter School District","=""2700013""",236
"Simsbury School District","=""1280011""",4190
"Somers School District","=""1290011""",1435
"South Windsor School District","=""1320011""",4156
"Southington School District","=""1310011""",6583
"Sprague School District","=""1330011""",362
"Stafford School District","=""1340011""",1544
"Stamford Academy District","=""2820013""",150
"Stamford Charter School for Excellence District","=""2960013""",164
"Stamford School District","=""1350011""",15946
"Sterling School District","=""1360011""",454
"Stonington School District","=""1370011""",2174
"Stratford School District","=""1380011""",6901
"Suffield School District","=""1390011""",2358
"The Bridge Academy District","=""2690013""",279
"The Gilbert School District","=""9020022""",553
"Thomaston School District","=""1400011""",900
"Thompson School District","=""1410011""",1007
"Tolland School District","=""1420011""",2600
"Torrington School District","=""1430011""",4266
"Trailblazers Academy District","=""2780013""",125
"Trumbull School District","=""1440011""",6687
"Unified School District #1","=""3360015""",390
"Unified School District #2","=""3470015""",173
"Union School District","=""1450011""",80
"Vernon School District","=""1460011""",3204
"Voluntown School District","=""1470011""",303
"Wallingford School District","=""1480011""",6020
"Waterbury School District","=""1510011""",18862
"Waterford School District","=""1520011""",2528
"Watertown School District","=""1530011""",2828
"West Hartford School District","=""1550011""",9757
"West Haven School District","=""1560011""",5842
"Westbrook School District","=""1540011""",782
"Weston School District","=""1570011""",2408
"Westport School District","=""1580011""",5714
"Wethersfield School District","=""1590011""",3651
"Willington School District","=""1600011""",435
"Wilton School District","=""1610011""",4173
"Winchester School District","=""1620011""",589
"Windham School District","=""1630011""",3296
"Windsor Locks School District","=""1650011""",1638
"Windsor School District","=""1640011""",3214
"Wolcott School District","=""1660011""",2346
"Woodbridge School District","=""1670011""",775
"Woodstock Academy District","=""9030022""",1022
"Woodstock School District","=""1690011""",862
"Total","=""""",541815

