"Student Counts by District and Year"
"All Districts"
"2010-11"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",610
"Amistad Academy District","=""2790013""",812
"Andover School District","=""0010011""",334
"Ansonia School District","=""0020011""",2627
"Area Cooperative Educational Services","=""2440014""",1991
"Ashford School District","=""0030011""",479
"Avon School District","=""0040011""",3564
"Barkhamsted School District","=""0050011""",373
"Berlin School District","=""0070011""",3129
"Bethany School District","=""0080011""",514
"Bethel School District","=""0090011""",2949
"Bloomfield School District","=""0110011""",2207
"Bolton School District","=""0120011""",904
"Bozrah School District","=""0130011""",236
"Branford School District","=""0140011""",3445
"Bridgeport Achievement First District","=""2850013""",409
"Bridgeport School District","=""0150011""",20457
"Bristol School District","=""0170011""",8666
"Brookfield School District","=""0180011""",2874
"Brooklyn School District","=""0190011""",957
"Canaan School District","=""0210011""",86
"Canterbury School District","=""0220011""",528
"Canton School District","=""0230011""",1789
"Capitol Region Education Council","=""2410014""",4646
"Chaplin School District","=""0240011""",187
"Charter School for Young Children on Asylum Hill District","=""2870013""",225
"Cheshire School District","=""0250011""",4825
"Chester School District","=""0260011""",275
"Clinton School District","=""0270011""",2049
"Colchester School District","=""0280011""",3101
"Colebrook School District","=""0290011""",112
"Columbia School District","=""0300011""",545
"Common Ground High School District","=""2680013""",163
"Connecticut Technical Education and Career System","=""9000016""",10643
"Cooperative Educational Services","=""2430014""",787
"Cornwall School District","=""0310011""",115
"Coventry School District","=""0320011""",1844
"Cromwell School District","=""0330011""",2032
"Danbury School District","=""0340011""",10694
"Darien School District","=""0350011""",4855
"Deep River School District","=""0360011""",354
"Department of Mental Health and Addiction Services","=""3370015""",6
"Derby School District","=""0370011""",1476
"East Granby School District","=""0400011""",893
"East Haddam School District","=""0410011""",1355
"East Hampton School District","=""0420011""",1978
"East Hartford School District","=""0430011""",7128
"East Haven School District","=""0440011""",3448
"East Lyme School District","=""0450011""",3084
"East Windsor School District","=""0470011""",1345
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",284
"Eastford School District","=""0390011""",180
"Easton School District","=""0460011""",1103
"EdAdvance","=""2420014""",217
"Ellington School District","=""0480011""",2734
"Elm City College Preparatory School District","=""2890013""",585
"Enfield School District","=""0490011""",5912
"Essex School District","=""0500011""",594
"Explorations District","=""2720013""",80
