"Student Counts by District and Year"
"All Districts"
"2010-11"

"District","District Code","Count"
"Fairfield School District","=""0510011""",10207
"Farmington School District","=""0520011""",4151
"Franklin School District","=""0530011""",224
"Glastonbury School District","=""0540011""",6841
"Granby School District","=""0560011""",2253
"Greenwich School District","=""0570011""",8873
"Griswold School District","=""0580011""",2013
"Groton School District","=""0590011""",4997
"Guilford School District","=""0600011""",3702
"Hamden School District","=""0620011""",6044
"Hampton School District","=""0630011""",140
"Hartford School District","=""0640011""",21365
"Hartland School District","=""0650011""",225
"Hebron School District","=""0670011""",1136
"Highville Charter School District","=""2860013""",300
"Integrated Day Charter School District","=""2640013""",331
"Interdistrict School for Arts and Comm District","=""2650013""",182
"Jumoke Academy District","=""2610013""",432
"Kent School District","=""0680011""",287
"Killingly School District","=""0690011""",2711
"Learn","=""2450014""",1295
"Lebanon School District","=""0710011""",1412
"Ledyard School District","=""0720011""",2643
"Lisbon School District","=""0730011""",535
"Litchfield School District","=""0740011""",1176
"Madison School District","=""0760011""",3630
"Manchester School District","=""0770011""",6862
"Mansfield School District","=""0780011""",1331
"Marlborough School District","=""0790011""",675
"Meriden School District","=""0800011""",8406
"Middletown School District","=""0830011""",5251
"Milford School District","=""0840011""",6988
"Monroe School District","=""0850011""",3761
"Montville School District","=""0860011""",2670
"Naugatuck School District","=""0880011""",4674
"New Beginnings Inc Family Academy District","=""2800013""",360
"New Britain School District","=""0890011""",10222
"New Canaan School District","=""0900011""",4143
"New Fairfield School District","=""0910011""",2920
"New Hartford School District","=""0920011""",610
"New Haven School District","=""0930011""",20194
"New London School District","=""0950011""",3106
"New Milford School District","=""0960011""",4773
"Newington School District","=""0940011""",4447
"Newtown School District","=""0970011""",5464
"Norfolk School District","=""0980011""",141
"North Branford School District","=""0990011""",2293
"North Canaan School District","=""1000011""",318
"North Haven School District","=""1010011""",3624
"North Stonington School District","=""1020011""",796
"Norwalk School District","=""1030011""",11143
"Norwich Free Academy District","=""9010022""",2381
"Norwich School District","=""1040011""",3877
"Odyssey Community School District","=""2630013""",181
"Old Saybrook School District","=""1060011""",1577
"Orange School District","=""1070011""",1284
"Oxford School District","=""1080011""",2205
"Park City Prep Charter School District","=""2830013""",250
"Plainfield School District","=""1090011""",2645
"Plainville School District","=""1100011""",2486
"Plymouth School District","=""1110011""",1745
"Pomfret School District","=""1120011""",518
"Portland School District","=""1130011""",1408
"Preston School District","=""1140011""",438
"Putnam School District","=""1160011""",1301
"Redding School District","=""1170011""",1246
"Regional School District 01","=""2010012""",506
"Regional School District 04","=""2040012""",983
"Regional School District 05","=""2050012""",2495
"Regional School District 06","=""2060012""",1053
"Regional School District 07","=""2070012""",1179
"Regional School District 08","=""2080012""",1780
"Regional School District 09","=""2090012""",985
"Regional School District 10","=""2100012""",2773
"Regional School District 11","=""2110012""",282
"Regional School District 12","=""2120012""",933
"Regional School District 13","=""2130012""",2052
"Regional School District 14","=""2140012""",2104
"Regional School District 15","=""2150012""",4440
"Regional School District 16","=""2160012""",2546
"Regional School District 17","=""2170012""",2485
"Regional School District 18","=""2180012""",1499
"Regional School District 19","=""2190012""",1197
"Ridgefield School District","=""1180011""",5437
"Rocky Hill School District","=""1190011""",2593
"Salem School District","=""1210011""",463
"Salisbury School District","=""1220011""",310
"Scotland School District","=""1230011""",143
"Seymour School District","=""1240011""",2424
"Sharon School District","=""1250011""",197
"Shelton School District","=""1260011""",5305
"Sherman School District","=""1270011""",409
"Side By Side Charter School District","=""2700013""",233
"Simsbury School District","=""1280011""",4781
"Somers School District","=""1290011""",1640
"South Windsor School District","=""1320011""",4599
"Southington School District","=""1310011""",6832
"Sprague School District","=""1330011""",373
"Stafford School District","=""1340011""",1865
"Stamford Academy District","=""2820013""",137
"Stamford School District","=""1350011""",15390
"Sterling School District","=""1360011""",486
"Stonington School District","=""1370011""",2515
"Stratford School District","=""1380011""",7338
"Suffield School District","=""1390011""",2520
"The Bridge Academy District","=""2690013""",271
"The Gilbert School District","=""9020022""",325
"Thomaston School District","=""1400011""",1129
"Thompson School District","=""1410011""",1277
"Tolland School District","=""1420011""",3074
"Torrington School District","=""1430011""",4620
"Trailblazers Academy District","=""2780013""",162
"Trumbull School District","=""1440011""",6992
"Unified School District #1","=""3360015""",816
"Unified School District #2","=""3470015""",305
"Union School District","=""1450011""",82
"Vernon School District","=""1460011""",3615
"Voluntown School District","=""1470011""",318
"Wallingford School District","=""1480011""",6600
"Waterbury School District","=""1510011""",18188
"Waterford School District","=""1520011""",2829
"Watertown School District","=""1530011""",3187
"West Hartford School District","=""1550011""",10269
"West Haven School District","=""1560011""",6266
"Westbrook School District","=""1540011""",950
"Weston School District","=""1570011""",2541
"Westport School District","=""1580011""",5800
"Wethersfield School District","=""1590011""",3819
"Willington School District","=""1600011""",514
"Wilton School District","=""1610011""",4340
"Winchester School District","=""1620011""",964
"Windham School District","=""1630011""",3397
"Windsor Locks School District","=""1650011""",1799
"Windsor School District","=""1640011""",3652
"Wolcott School District","=""1660011""",2752
"Woodbridge School District","=""1670011""",723
"Woodstock Academy District","=""9030022""",1096
"Woodstock School District","=""1690011""",932
"Total","=""""",564499

