"Student Counts by District and Year"
"All Districts"
"2013-14"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",870
"Amistad Academy District","=""2790013""",937
"Andover School District","=""0010011""",299
"Ansonia School District","=""0020011""",2338
"Area Cooperative Educational Services","=""2440014""",1933
"Ashford School District","=""0030011""",424
"Avon School District","=""0040011""",3387
"Barkhamsted School District","=""0050011""",307
"Berlin School District","=""0070011""",2963
"Bethany School District","=""0080011""",436
"Bethel School District","=""0090011""",3000
"Bloomfield School District","=""0110011""",2096
"Bolton School District","=""0120011""",869
"Bozrah School District","=""0130011""",244
"Branford School District","=""0140011""",3245
"Brass City Charter School District","=""2900013""",115
"Bridgeport Achievement First District","=""2850013""",835
"Bridgeport School District","=""0150011""",20929
"Bristol School District","=""0170011""",8268
"Brookfield School District","=""0180011""",2771
"Brooklyn School District","=""0190011""",926
"Canaan School District","=""0210011""","*"
"Canterbury School District","=""0220011""",464
"Canton School District","=""0230011""",1700
"Capitol Region Education Council","=""2410014""",7177
"Chaplin School District","=""0240011""",183
"Cheshire School District","=""0250011""",4620
"Chester School District","=""0260011""",228
"Clinton School District","=""0270011""",1961
"Colchester School District","=""0280011""",2744
"Colebrook School District","=""0290011""",99
"Columbia School District","=""0300011""",474
"Common Ground High School District","=""2680013""",180
"Connecticut Technical Education and Career System","=""9000016""",10698
"Cooperative Educational Services","=""2430014""",822
"Cornwall School District","=""0310011""",105
"Coventry School District","=""0320011""",1693
"Cromwell School District","=""0330011""",1968
"Danbury School District","=""0340011""",10793
"Darien School District","=""0350011""",4929
"Deep River School District","=""0360011""",333
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",1522
"East Granby School District","=""0400011""",874
"East Haddam School District","=""0410011""",1199
"East Hampton School District","=""0420011""",1877
"East Hartford School District","=""0430011""",7158
"East Haven School District","=""0440011""",3127
"East Lyme School District","=""0450011""",2868
"East Windsor School District","=""0470011""",1216
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",366
"Eastford School District","=""0390011""",152
"Easton School District","=""0460011""",962
"EdAdvance","=""2420014""",229
"Ellington School District","=""0480011""",2664
"Elm City College Preparatory School District","=""2890013""",624
"Enfield School District","=""0490011""",5225
"Essex School District","=""0500011""",510
"Explorations District","=""2720013""",83
"Fairfield School District","=""0510011""",10288
"Farmington School District","=""0520011""",4036
"Franklin School District","=""0530011""",185
"Glastonbury School District","=""0540011""",6410
"Granby School District","=""0560011""",2065
"Greenwich School District","=""0570011""",8786
"Griswold School District","=""0580011""",1981
"Groton School District","=""0590011""",4702
"Guilford School District","=""0600011""",3540
"Hamden School District","=""0620011""",5811
"Hampton School District","=""0630011""",111
"Hartford School District","=""0640011""",21820
"Hartland School District","=""0650011""",205
"Hebron School District","=""0670011""",868
"Highville Charter School District","=""2860013""",361
"Integrated Day Charter School District","=""2640013""",330
"Interdistrict School for Arts and Comm District","=""2650013""",246
"Jumoke Academy District","=""2610013""",704
"Kent School District","=""0680011""",272
"Killingly School District","=""0690011""",2671
"Learn","=""2450014""",2137
"Lebanon School District","=""0710011""",1158
"Ledyard School District","=""0720011""",2580
"Lisbon School District","=""0730011""",402
"Litchfield School District","=""0740011""",992
"Madison School District","=""0760011""",3297
"Manchester School District","=""0770011""",6256
"Mansfield School District","=""0780011""",1249
"Marlborough School District","=""0790011""",605
"Meriden School District","=""0800011""",8183
"Middletown School District","=""0830011""",4847
"Milford School District","=""0840011""",6434
"Monroe School District","=""0850011""",3379
"Montville School District","=""0860011""",2418
"Naugatuck School District","=""0880011""",4356
"New Beginnings Inc Family Academy District","=""2800013""",402
"New Britain School District","=""0890011""",10136
"New Canaan School District","=""0900011""",4192
"New Fairfield School District","=""0910011""",2730
"New Hartford School District","=""0920011""",545
"New Haven School District","=""0930011""",21420
"New London School District","=""0950011""",3115
"New Milford School District","=""0960011""",4504
"Newington School District","=""0940011""",4244
"Newtown School District","=""0970011""",4920
"Norfolk School District","=""0980011""",117
"North Branford School District","=""0990011""",2018
"North Canaan School District","=""1000011""",295
"North Haven School District","=""1010011""",3402
"North Stonington School District","=""1020011""",751
"Norwalk School District","=""1030011""",11169
"Norwich Free Academy District","=""9010022""",2324
"Norwich School District","=""1040011""",3804
"Odyssey Community School District","=""2630013""",325
"Old Saybrook School District","=""1060011""",1446
"Orange School District","=""1070011""",1192
"Oxford School District","=""1080011""",2053
"Park City Prep Charter School District","=""2830013""",260
"Plainfield School District","=""1090011""",2462
"Plainville School District","=""1100011""",2338
"Plymouth School District","=""1110011""",1577
"Pomfret School District","=""1120011""",426
"Portland School District","=""1130011""",1382
"Preston School District","=""1140011""",433
"Putnam School District","=""1160011""",1265
"Redding School District","=""1170011""",1060
"Regional School District 01","=""2010012""",432
"Regional School District 04","=""2040012""",983
"Regional School District 05","=""2050012""",2372
"Regional School District 06","=""2060012""",996
"Regional School District 07","=""2070012""",1139
"Regional School District 08","=""2080012""",1743
"Regional School District 09","=""2090012""",1082
"Regional School District 10","=""2100012""",2577
"Regional School District 11","=""2110012""",295
"Regional School District 12","=""2120012""",800
"Regional School District 13","=""2130012""",1875
"Regional School District 14","=""2140012""",1905
"Regional School District 15","=""2150012""",4002
"Regional School District 16","=""2160012""",2352
"Regional School District 17","=""2170012""",2281
"Regional School District 18","=""2180012""",1411
"Regional School District 19","=""2190012""",1205
"Ridgefield School District","=""1180011""",5293
"Rocky Hill School District","=""1190011""",2425
"Salem School District","=""1210011""",435
"Salisbury School District","=""1220011""",280
"Scotland School District","=""1230011""",133
"Seymour School District","=""1240011""",2306
"Sharon School District","=""1250011""",177
"Shelton School District","=""1260011""",4982
"Sherman School District","=""1270011""",373
"Side By Side Charter School District","=""2700013""",235
