"Student Counts by District and Year"
"All Districts"
"2013-14"

"District","District Code","Count"
"Simsbury School District","=""1280011""",4377
"Somers School District","=""1290011""",1515
"South Windsor School District","=""1320011""",4287
"Southington School District","=""1310011""",6704
"Sprague School District","=""1330011""",365
"Stafford School District","=""1340011""",1634
"Stamford Academy District","=""2820013""",147
"Stamford School District","=""1350011""",15927
"Sterling School District","=""1360011""",485
"Stonington School District","=""1370011""",2320
"Stratford School District","=""1380011""",7216
"Suffield School District","=""1390011""",2429
"The Bridge Academy District","=""2690013""",277
"The Gilbert School District","=""9020022""",537
"Thomaston School District","=""1400011""",950
"Thompson School District","=""1410011""",1079
"Tolland School District","=""1420011""",2732
"Torrington School District","=""1430011""",4353
"Trailblazers Academy District","=""2780013""",162
"Trumbull School District","=""1440011""",6824
"Unified School District #1","=""3360015""",539
"Unified School District #2","=""3470015""",228
"Union School District","=""1450011""",78
"Vernon School District","=""1460011""",3350
"Voluntown School District","=""1470011""",310
"Wallingford School District","=""1480011""",6108
"Waterbury School District","=""1510011""",18706
"Waterford School District","=""1520011""",2572
"Watertown School District","=""1530011""",2932
"West Hartford School District","=""1550011""",9919
"West Haven School District","=""1560011""",6010
"Westbrook School District","=""1540011""",839
"Weston School District","=""1570011""",2421
"Westport School District","=""1580011""",5786
"Wethersfield School District","=""1590011""",3727
"Willington School District","=""1600011""",458
"Wilton School District","=""1610011""",4299
"Winchester School District","=""1620011""",652
"Windham School District","=""1630011""",3273
"Windsor Locks School District","=""1650011""",1687
"Windsor School District","=""1640011""",3283
"Wolcott School District","=""1660011""",2491
"Woodbridge School District","=""1670011""",770
"Woodstock Academy District","=""9030022""",1033
"Woodstock School District","=""1690011""",904
"Total","=""""",549877

