"Student Counts by District and Year"
"All Districts"
"2012-13"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",824
"Amistad Academy District","=""2790013""",904
"Andover School District","=""0010011""",315
"Ansonia School District","=""0020011""",2425
"Area Cooperative Educational Services","=""2440014""",1932
"Ashford School District","=""0030011""",440
"Avon School District","=""0040011""",3421
"Barkhamsted School District","=""0050011""",349
"Berlin School District","=""0070011""",2985
"Bethany School District","=""0080011""",473
"Bethel School District","=""0090011""",2987
"Bloomfield School District","=""0110011""",2119
"Bolton School District","=""0120011""",897
"Bozrah School District","=""0130011""",243
"Branford School District","=""0140011""",3282
"Bridgeport Achievement First District","=""2850013""",702
"Bridgeport School District","=""0150011""",20338
"Bristol School District","=""0170011""",8365
"Brookfield School District","=""0180011""",2793
"Brooklyn School District","=""0190011""",948
"Canaan School District","=""0210011""",75
"Canterbury School District","=""0220011""",499
"Canton School District","=""0230011""",1758
"Capitol Region Education Council","=""2410014""",6258
"Chaplin School District","=""0240011""",185
"Cheshire School District","=""0250011""",4674
"Chester School District","=""0260011""",252
"Clinton School District","=""0270011""",1989
"Colchester School District","=""0280011""",2893
"Colebrook School District","=""0290011""",104
"Columbia School District","=""0300011""",511
"Common Ground High School District","=""2680013""",169
"Connecticut Technical Education and Career System","=""9000016""",10651
"Cooperative Educational Services","=""2430014""",838
"Cornwall School District","=""0310011""",103
"Coventry School District","=""0320011""",1735
"Cromwell School District","=""0330011""",1985
"Danbury School District","=""0340011""",10950
"Darien School District","=""0350011""",4880
"Deep River School District","=""0360011""",350
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",1498
"East Granby School District","=""0400011""",865
"East Haddam School District","=""0410011""",1257
"East Hampton School District","=""0420011""",1898
"East Hartford School District","=""0430011""",7053
"East Haven School District","=""0440011""",3241
"East Lyme School District","=""0450011""",2939
"East Windsor School District","=""0470011""",1276
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",330
"Eastford School District","=""0390011""",169
"Easton School District","=""0460011""",1019
"EdAdvance","=""2420014""",249
"Ellington School District","=""0480011""",2721
"Elm City College Preparatory School District","=""2890013""",604
"Enfield School District","=""0490011""",5480
"Essex School District","=""0500011""",530
"Explorations District","=""2720013""",73
"Fairfield School District","=""0510011""",10327
"Farmington School District","=""0520011""",4071
"Franklin School District","=""0530011""",204
"Glastonbury School District","=""0540011""",6606
"Granby School District","=""0560011""",2112
"Greenwich School District","=""0570011""",8871
"Griswold School District","=""0580011""",1975
"Groton School District","=""0590011""",4811
"Guilford School District","=""0600011""",3597
"Hamden School District","=""0620011""",5841
"Hampton School District","=""0630011""",116
"Hartford School District","=""0640011""",21965
"Hartland School District","=""0650011""",215
"Hebron School District","=""0670011""",938
"Highville Charter School District","=""2860013""",341
"Integrated Day Charter School District","=""2640013""",330
"Interdistrict School for Arts and Comm District","=""2650013""",191
"Jumoke Academy District","=""2610013""",589
"Kent School District","=""0680011""",271
"Killingly School District","=""0690011""",2716
"Learn","=""2450014""",1728
"Lebanon School District","=""0710011""",1238
"Ledyard School District","=""0720011""",2616
"Lisbon School District","=""0730011""",448
"Litchfield School District","=""0740011""",1040
"Madison School District","=""0760011""",3390
"Manchester School District","=""0770011""",6275
"Mansfield School District","=""0780011""",1321
"Marlborough School District","=""0790011""",639
"Meriden School District","=""0800011""",8260
"Middletown School District","=""0830011""",4948
"Milford School District","=""0840011""",6670
"Monroe School District","=""0850011""",3488
"Montville School District","=""0860011""",2455
"Naugatuck School District","=""0880011""",4490
"New Beginnings Inc Family Academy District","=""2800013""",399
"New Britain School District","=""0890011""",10322
"New Canaan School District","=""0900011""",4223
"New Fairfield School District","=""0910011""",2805
"New Hartford School District","=""0920011""",567
"New Haven School District","=""0930011""",21246
"New London School District","=""0950011""",3107
"New Milford School District","=""0960011""",4620
"Newington School District","=""0940011""",4343
"Newtown School District","=""0970011""",5159
"Norfolk School District","=""0980011""",121
"North Branford School District","=""0990011""",2094
"North Canaan School District","=""1000011""",315
"North Haven School District","=""1010011""",3537
"North Stonington School District","=""1020011""",764
"Norwalk School District","=""1030011""",11148
"Norwich Free Academy District","=""9010022""",2264
"Norwich School District","=""1040011""",3869
"Odyssey Community School District","=""2630013""",324
"Old Saybrook School District","=""1060011""",1505
"Orange School District","=""1070011""",1248
"Oxford School District","=""1080011""",2103
"Park City Prep Charter School District","=""2830013""",251
"Plainfield School District","=""1090011""",2507
"Plainville School District","=""1100011""",2376
"Plymouth School District","=""1110011""",1619
"Pomfret School District","=""1120011""",476
"Portland School District","=""1130011""",1382
"Preston School District","=""1140011""",415
"Putnam School District","=""1160011""",1273
"Redding School District","=""1170011""",1133
"Regional School District 01","=""2010012""",424
"Regional School District 04","=""2040012""",994
"Regional School District 05","=""2050012""",2369
"Regional School District 06","=""2060012""",1034
"Regional School District 07","=""2070012""",1146
"Regional School District 08","=""2080012""",1776
"Regional School District 09","=""2090012""",1032
"Regional School District 10","=""2100012""",2638
"Regional School District 11","=""2110012""",290
"Regional School District 12","=""2120012""",843
"Regional School District 13","=""2130012""",1960
"Regional School District 14","=""2140012""",1943
"Regional School District 15","=""2150012""",4093
"Regional School District 16","=""2160012""",2429
"Regional School District 17","=""2170012""",2320
"Regional School District 18","=""2180012""",1450
"Regional School District 19","=""2190012""",1235
"Ridgefield School District","=""1180011""",5296
"Rocky Hill School District","=""1190011""",2470
"Salem School District","=""1210011""",428
"Salisbury School District","=""1220011""",310
"Scotland School District","=""1230011""",127
"Seymour School District","=""1240011""",2294
"Sharon School District","=""1250011""",188
"Shelton School District","=""1260011""",5130
"Sherman School District","=""1270011""",384
"Side By Side Charter School District","=""2700013""",233
"Simsbury School District","=""1280011""",4553
"Somers School District","=""1290011""",1586
"South Windsor School District","=""1320011""",4321
"Southington School District","=""1310011""",6740
"Sprague School District","=""1330011""",373
"Stafford School District","=""1340011""",1727
"Stamford Academy District","=""2820013""",138
"Stamford School District","=""1350011""",15834
"Sterling School District","=""1360011""",502
"Stonington School District","=""1370011""",2369
"Stratford School District","=""1380011""",7239
"Suffield School District","=""1390011""",2457
"The Bridge Academy District","=""2690013""",276
"The Gilbert School District","=""9020022""",505
"Thomaston School District","=""1400011""",1017
"Thompson School District","=""1410011""",1167
"Tolland School District","=""1420011""",2857
"Torrington School District","=""1430011""",4446
"Trailblazers Academy District","=""2780013""",168
"Trumbull School District","=""1440011""",6937
"Unified School District #1","=""3360015""",641
"Unified School District #2","=""3470015""",227
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",3477
"Voluntown School District","=""1470011""",321
"Wallingford School District","=""1480011""",6292
"Waterbury School District","=""1510011""",18485
"Waterford School District","=""1520011""",2642
"Watertown School District","=""1530011""",3036
"West Hartford School District","=""1550011""",10078
"West Haven School District","=""1560011""",6079
"Westbrook School District","=""1540011""",877
"Weston School District","=""1570011""",2428
"Westport School District","=""1580011""",5818
"Wethersfield School District","=""1590011""",3703
"Willington School District","=""1600011""",480
"Wilton School District","=""1610011""",4312
"Winchester School District","=""1620011""",698
