"Student Counts by District and Year"
"All Districts"
"2014-15"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",954
"Amistad Academy District","=""2790013""",984
"Andover School District","=""0010011""",275
"Ansonia School District","=""0020011""",2415
"Area Cooperative Educational Services","=""2440014""",1939
"Ashford School District","=""0030011""",417
"Avon School District","=""0040011""",3332
"Barkhamsted School District","=""0050011""",317
"Berlin School District","=""0070011""",2909
"Bethany School District","=""0080011""",407
"Bethel School District","=""0090011""",2939
"Bloomfield School District","=""0110011""",2115
"Bolton School District","=""0120011""",847
"Booker T. Washington Academy District","=""2950013""",91
"Bozrah School District","=""0130011""",211
"Branford School District","=""0140011""",3108
"Brass City Charter School District","=""2900013""",150
"Bridgeport Achievement First District","=""2850013""",977
"Bridgeport School District","=""0150011""",21244
"Bristol School District","=""0170011""",8233
"Brookfield School District","=""0180011""",2719
"Brooklyn School District","=""0190011""",920
"Canaan School District","=""0210011""",78
"Canterbury School District","=""0220011""",477
"Canton School District","=""0230011""",1629
"Capitol Region Education Council","=""2410014""",8166
"Chaplin School District","=""0240011""",178
"Cheshire School District","=""0250011""",4551
"Chester School District","=""0260011""",219
"Clinton School District","=""0270011""",1888
"Colchester School District","=""0280011""",2654
"Colebrook School District","=""0290011""",91
"Columbia School District","=""0300011""",458
"Common Ground High School District","=""2680013""",180
"Connecticut Technical Education and Career System","=""9000016""",10790
"Cooperative Educational Services","=""2430014""",849
"Cornwall School District","=""0310011""",91
"Coventry School District","=""0320011""",1651
"Cromwell School District","=""0330011""",1984
"Danbury School District","=""0340011""",10945
"Darien School District","=""0350011""",4932
"Deep River School District","=""0360011""",316
"Department of Mental Health and Addiction Services","=""3370015""",7
"Derby School District","=""0370011""",1467
"East Granby School District","=""0400011""",886
"East Haddam School District","=""0410011""",1143
"East Hampton School District","=""0420011""",1835
"East Hartford School District","=""0430011""",7060
"East Haven School District","=""0440011""",3011
"East Lyme School District","=""0450011""",2839
"East Windsor School District","=""0470011""",1138
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",411
"Eastford School District","=""0390011""",139
"Easton School District","=""0460011""",936
"EdAdvance","=""2420014""",250
"Ellington School District","=""0480011""",2658
"Elm City College Preparatory School District","=""2890013""",635
"Elm City Montessori School District","=""2910013""",70
"Enfield School District","=""0490011""",5174
"Essex School District","=""0500011""",454
"Explorations District","=""2720013""",88
"Fairfield School District","=""0510011""",10213
"Farmington School District","=""0520011""",4020
"Franklin School District","=""0530011""",170
"Glastonbury School District","=""0540011""",6148
"Granby School District","=""0560011""",1970
"Great Oaks Charter School District","=""2940013""",127
"Greenwich School District","=""0570011""",8813
"Griswold School District","=""0580011""",1897
"Groton School District","=""0590011""",4565
"Guilford School District","=""0600011""",3427
"Hamden School District","=""0620011""",5680
"Hampton School District","=""0630011""",105
"Hartford School District","=""0640011""",21953
"Hartland School District","=""0650011""",203
"Hebron School District","=""0670011""",786
"Highville Charter School District","=""2860013""",403
"Integrated Day Charter School District","=""2640013""",331
"Interdistrict School for Arts and Comm District","=""2650013""",262
"Jumoke Academy District","=""2610013""",716
"Kent School District","=""0680011""",258
"Killingly School District","=""0690011""",2576
"Learn","=""2450014""",2270
"Lebanon School District","=""0710011""",1105
"Ledyard School District","=""0720011""",2540
"Lisbon School District","=""0730011""",403
"Litchfield School District","=""0740011""",983
"Madison School District","=""0760011""",3171
"Manchester School District","=""0770011""",6267
"Mansfield School District","=""0780011""",1242
"Marlborough School District","=""0790011""",600
"Meriden School District","=""0800011""",8100
"Middletown School District","=""0830011""",4793
"Milford School District","=""0840011""",6278
"Monroe School District","=""0850011""",3299
"Montville School District","=""0860011""",2356
"Naugatuck School District","=""0880011""",4316
"New Beginnings Inc Family Academy District","=""2800013""",473
"New Britain School District","=""0890011""",10101
"New Canaan School District","=""0900011""",4213
"New Fairfield School District","=""0910011""",2662
"New Hartford School District","=""0920011""",506
"New Haven School District","=""0930011""",21711
"New London School District","=""0950011""",3253
"New Milford School District","=""0960011""",4362
"Newington School District","=""0940011""",4127
"Newtown School District","=""0970011""",4767
"Norfolk School District","=""0980011""",116
"North Branford School District","=""0990011""",1969
"North Canaan School District","=""1000011""",280
"North Haven School District","=""1010011""",3312
"North Stonington School District","=""1020011""",741
"Norwalk School District","=""1030011""",11311
"Norwich Free Academy District","=""9010022""",2317
"Norwich School District","=""1040011""",3764
"Odyssey Community School District","=""2630013""",328
"Old Saybrook School District","=""1060011""",1425
"Orange School District","=""1070011""",1180
"Oxford School District","=""1080011""",1979
"Park City Prep Charter School District","=""2830013""",360
"Path Academy District","=""2930013""",132
"Plainfield School District","=""1090011""",2351
"Plainville School District","=""1100011""",2412
"Plymouth School District","=""1110011""",1556
"Pomfret School District","=""1120011""",410
"Portland School District","=""1130011""",1334
"Preston School District","=""1140011""",426
"Putnam School District","=""1160011""",1252
"Redding School District","=""1170011""",1001
"Regional School District 01","=""2010012""",406
"Regional School District 04","=""2040012""",974
"Regional School District 05","=""2050012""",2328
"Regional School District 06","=""2060012""",971
"Regional School District 07","=""2070012""",1076
"Regional School District 08","=""2080012""",1661
"Regional School District 09","=""2090012""",1065
"Regional School District 10","=""2100012""",2484
"Regional School District 11","=""2110012""",278
"Regional School District 12","=""2120012""",752
"Regional School District 13","=""2130012""",1832
"Regional School District 14","=""2140012""",1803
"Regional School District 15","=""2150012""",3868
"Regional School District 16","=""2160012""",2329
"Regional School District 17","=""2170012""",2186
"Regional School District 18","=""2180012""",1354
"Regional School District 19","=""2190012""",1204
"Ridgefield School District","=""1180011""",5178
"Rocky Hill School District","=""1190011""",2487
"Salem School District","=""1210011""",399
"Salisbury School District","=""1220011""",273
"Scotland School District","=""1230011""",129
"Seymour School District","=""1240011""",2286
"Sharon School District","=""1250011""",177
"Shelton School District","=""1260011""",4947
"Sherman School District","=""1270011""",349
"Side By Side Charter School District","=""2700013""",235
"Simsbury School District","=""1280011""",4307
"Somers School District","=""1290011""",1480
"South Windsor School District","=""1320011""",4216
"Southington School District","=""1310011""",6626
"Sprague School District","=""1330011""",366
"Stafford School District","=""1340011""",1586
"Stamford Academy District","=""2820013""",141
"Stamford School District","=""1350011""",16085
"Sterling School District","=""1360011""",467
"Stonington School District","=""1370011""",2267
"Stratford School District","=""1380011""",7060
"Suffield School District","=""1390011""",2397
"The Bridge Academy District","=""2690013""",275
"The Gilbert School District","=""9020022""",552
"Thomaston School District","=""1400011""",912
"Thompson School District","=""1410011""",1016
"Tolland School District","=""1420011""",2677
"Torrington School District","=""1430011""",4303
"Trailblazers Academy District","=""2780013""",119
"Trumbull School District","=""1440011""",6716
"Unified School District #1","=""3360015""",410
"Unified School District #2","=""3470015""",215
"Union School District","=""1450011""",80
"Vernon School District","=""1460011""",3282
"Voluntown School District","=""1470011""",317
"Wallingford School District","=""1480011""",6105
"Waterbury School District","=""1510011""",18878
"Waterford School District","=""1520011""",2552
"Watertown School District","=""1530011""",2848
"West Hartford School District","=""1550011""",9794
"West Haven School District","=""1560011""",5940
"Westbrook School District","=""1540011""",807
"Weston School District","=""1570011""",2413
"Westport School District","=""1580011""",5772
"Wethersfield School District","=""1590011""",3647
"Willington School District","=""1600011""",430
"Wilton School District","=""1610011""",4272
"Winchester School District","=""1620011""",609
"Windham School District","=""1630011""",3190
"Windsor Locks School District","=""1650011""",1664
"Windsor School District","=""1640011""",3168
"Wolcott School District","=""1660011""",2365
"Woodbridge School District","=""1670011""",797
"Woodstock Academy District","=""9030022""",1012
"Woodstock School District","=""1690011""",873
"Total","=""""",546347

