"Student Counts by District and Year"
"All Districts"
"2011-12"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",762
"Amistad Academy District","=""2790013""",857
"Andover School District","=""0010011""",314
"Ansonia School District","=""0020011""",2526
"Area Cooperative Educational Services","=""2440014""",1955
"Ashford School District","=""0030011""",481
"Avon School District","=""0040011""",3518
"Barkhamsted School District","=""0050011""",357
"Berlin School District","=""0070011""",3027
"Bethany School District","=""0080011""",492
"Bethel School District","=""0090011""",2982
"Bloomfield School District","=""0110011""",2164
"Bolton School District","=""0120011""",897
"Bozrah School District","=""0130011""",236
"Branford School District","=""0140011""",3341
"Bridgeport Achievement First District","=""2850013""",543
"Bridgeport School District","=""0150011""",20367
"Bristol School District","=""0170011""",8523
"Brookfield School District","=""0180011""",2845
"Brooklyn School District","=""0190011""",939
"Canaan School District","=""0210011""",86
"Canterbury School District","=""0220011""",520
"Canton School District","=""0230011""",1751
"Capitol Region Education Council","=""2410014""",5558
"Chaplin School District","=""0240011""",182
"Cheshire School District","=""0250011""",4809
"Chester School District","=""0260011""",260
"Clinton School District","=""0270011""",2012
"Colchester School District","=""0280011""",3031
"Colebrook School District","=""0290011""",99
"Columbia School District","=""0300011""",530
"Common Ground High School District","=""2680013""",165
"Connecticut Technical Education and Career System","=""9000016""",10656
"Cooperative Educational Services","=""2430014""",813
"Cornwall School District","=""0310011""",106
"Coventry School District","=""0320011""",1796
"Cromwell School District","=""0330011""",2000
"Danbury School District","=""0340011""",10822
"Darien School District","=""0350011""",4833
"Deep River School District","=""0360011""",359
"Department of Mental Health and Addiction Services","=""3370015""",6
"Derby School District","=""0370011""",1453
"East Granby School District","=""0400011""",847
"East Haddam School District","=""0410011""",1287
"East Hampton School District","=""0420011""",1952
"East Hartford School District","=""0430011""",7176
"East Haven School District","=""0440011""",3297
"East Lyme School District","=""0450011""",2985
"East Windsor School District","=""0470011""",1298
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",295
"Eastford School District","=""0390011""",176
"Easton School District","=""0460011""",1059
"EdAdvance","=""2420014""",221
"Ellington School District","=""0480011""",2755
"Elm City College Preparatory School District","=""2890013""",600
"Enfield School District","=""0490011""",5673
"Essex School District","=""0500011""",559
"Explorations District","=""2720013""",74
"Fairfield School District","=""0510011""",10335
"Farmington School District","=""0520011""",4069
"Franklin School District","=""0530011""",206
"Glastonbury School District","=""0540011""",6721
"Granby School District","=""0560011""",2171
"Greenwich School District","=""0570011""",8822
"Griswold School District","=""0580011""",1974
"Groton School District","=""0590011""",4990
"Guilford School District","=""0600011""",3684
"Hamden School District","=""0620011""",5897
"Hampton School District","=""0630011""",126
"Hartford School District","=""0640011""",21297
"Hartland School District","=""0650011""",227
"Hebron School District","=""0670011""",1048
"Highville Charter School District","=""2860013""",337
"Integrated Day Charter School District","=""2640013""",330
"Interdistrict School for Arts and Comm District","=""2650013""",191
"Jumoke Academy District","=""2610013""",488
"Kent School District","=""0680011""",278
"Killingly School District","=""0690011""",2704
"Learn","=""2450014""",1514
"Lebanon School District","=""0710011""",1293
"Ledyard School District","=""0720011""",2604
"Lisbon School District","=""0730011""",481
"Litchfield School District","=""0740011""",1133
"Madison School District","=""0760011""",3465
"Manchester School District","=""0770011""",6454
"Mansfield School District","=""0780011""",1329
"Marlborough School District","=""0790011""",672
"Meriden School District","=""0800011""",8342
"Middletown School District","=""0830011""",5106
"Milford School District","=""0840011""",6836
"Monroe School District","=""0850011""",3589
"Montville School District","=""0860011""",2575
"Naugatuck School District","=""0880011""",4535
"New Beginnings Inc Family Academy District","=""2800013""",361
"New Britain School District","=""0890011""",10268
"New Canaan School District","=""0900011""",4173
"New Fairfield School District","=""0910011""",2878
"New Hartford School District","=""0920011""",583
"New Haven School District","=""0930011""",20648
"New London School District","=""0950011""",2998
"New Milford School District","=""0960011""",4688
"Newington School District","=""0940011""",4378
