"Student Counts by District and Year"
"All Districts"
"2009-10"

"District","District Code","Count"
"West Hartford School District","=""1550011""",10237
"West Haven School District","=""1560011""",6303
"Westbrook School District","=""1540011""",976
"Weston School District","=""1570011""",2572
"Westport School District","=""1580011""",5738
"Wethersfield School District","=""1590011""",3833
"Willington School District","=""1600011""",545
"Wilton School District","=""1610011""",4358
"Winchester School District","=""1620011""",972
"Windham School District","=""1630011""",3493
"Windsor Locks School District","=""1650011""",1815
"Windsor School District","=""1640011""",3797
"Wolcott School District","=""1660011""",2763
"Woodbridge School District","=""1670011""",733
"Woodstock Academy District","=""9030022""",1153
"Woodstock School District","=""1690011""",923
"Total","=""""",567792

