"Student Counts by District and Year"
"All Districts"
"2009-10"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",440
"Amistad Academy District","=""2790013""",744
"Andover School District","=""0010011""",336
"Ansonia School District","=""0020011""",2738
"Area Cooperative Educational Services","=""2440014""",2076
"Ashford School District","=""0030011""",478
"Avon School District","=""0040011""",3598
"Barkhamsted School District","=""0050011""",367
"Berlin School District","=""0070011""",3169
"Bethany School District","=""0080011""",516
"Bethel School District","=""0090011""",3053
"Bloomfield School District","=""0110011""",2298
"Bolton School District","=""0120011""",888
"Bozrah School District","=""0130011""",258
"Branford School District","=""0140011""",3534
"Bridgeport Achievement First District","=""2850013""",238
"Bridgeport School District","=""0150011""",20307
"Bristol School District","=""0170011""",8753
"Brookfield School District","=""0180011""",2906
"Brooklyn School District","=""0190011""",972
"Canaan School District","=""0210011""",95
"Canterbury School District","=""0220011""",556
"Canton School District","=""0230011""",1775
"Capitol Region Education Council","=""2410014""",3948
"Chaplin School District","=""0240011""",173
"Charter School for Young Children on Asylum Hill District","=""2870013""",185
"Cheshire School District","=""0250011""",4971
"Chester School District","=""0260011""",299
"Clinton School District","=""0270011""",2035
"Colchester School District","=""0280011""",3228
"Colebrook School District","=""0290011""",119
"Columbia School District","=""0300011""",560
"Common Ground High School District","=""2680013""",160
"Connecticut Technical Education and Career System","=""9000016""",10469
"Cooperative Educational Services","=""2430014""",778
"Cornwall School District","=""0310011""",122
"Coventry School District","=""0320011""",1920
"Cromwell School District","=""0330011""",2068
"Danbury School District","=""0340011""",10483
"Darien School District","=""0350011""",4791
"Deep River School District","=""0360011""",351
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",1474
"East Granby School District","=""0400011""",907
"East Haddam School District","=""0410011""",1405
"East Hampton School District","=""0420011""",2034
"East Hartford School District","=""0430011""",7280
"East Haven School District","=""0440011""",3546
"East Lyme School District","=""0450011""",3113
"East Windsor School District","=""0470011""",1397
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",208
"Eastford School District","=""0390011""",171
"Easton School District","=""0460011""",1114
"EdAdvance","=""2420014""",200
"Ellington School District","=""0480011""",2675
"Elm City College Preparatory School District","=""2890013""",547
"Enfield School District","=""0490011""",6119
"Essex School District","=""0500011""",593
"Explorations District","=""2720013""",80
"Fairfield School District","=""0510011""",10134
"Farmington School District","=""0520011""",4169
"Franklin School District","=""0530011""",225
"Glastonbury School District","=""0540011""",6846
"Granby School District","=""0560011""",2294
"Greenwich School District","=""0570011""",8863
"Griswold School District","=""0580011""",2068
"Groton School District","=""0590011""",5063
"Guilford School District","=""0600011""",3736
"Hamden School District","=""0620011""",5997
"Hampton School District","=""0630011""",143
"Hartford School District","=""0640011""",21552
"Hartland School District","=""0650011""",229
"Hebron School District","=""0670011""",1172
"Highville Charter School District","=""2860013""",303
"Integrated Day Charter School District","=""2640013""",330
"Interdistrict School for Arts and Comm District","=""2650013""",182
"Jumoke Academy District","=""2610013""",434
"Kent School District","=""0680011""",282
"Killingly School District","=""0690011""",2708
"Learn","=""2450014""",1121
"Lebanon School District","=""0710011""",1457
"Ledyard School District","=""0720011""",2682
"Lisbon School District","=""0730011""",569
"Litchfield School District","=""0740011""",1207
"Madison School District","=""0760011""",3695
"Manchester School District","=""0770011""",6941
"Mansfield School District","=""0780011""",1275
"Marlborough School District","=""0790011""",669
"Meriden School District","=""0800011""",8463
"Middletown School District","=""0830011""",5239
"Milford School District","=""0840011""",7147
"Monroe School District","=""0850011""",3899
"Montville School District","=""0860011""",2698
"Naugatuck School District","=""0880011""",4893
"New Beginnings Inc Family Academy District","=""2800013""",360
"New Britain School District","=""0890011""",10318
"New Canaan School District","=""0900011""",4091
"New Fairfield School District","=""0910011""",3031
"New Hartford School District","=""0920011""",632
"New Haven School District","=""0930011""",19947
"New London School District","=""0950011""",3020
"New Milford School District","=""0960011""",4883
"Newington School District","=""0940011""",4492
"Newtown School District","=""0970011""",5510
"Norfolk School District","=""0980011""",144
"North Branford School District","=""0990011""",2342
"North Canaan School District","=""1000011""",328
"North Haven School District","=""1010011""",3712
"North Stonington School District","=""1020011""",792
"Norwalk School District","=""1030011""",10962
"Norwich Free Academy District","=""9010022""",2421
"Norwich School District","=""1040011""",3946
"Odyssey Community School District","=""2630013""",180
"Old Saybrook School District","=""1060011""",1599
"Orange School District","=""1070011""",1301
"Oxford School District","=""1080011""",2163
"Park City Prep Charter School District","=""2830013""",242
"Plainfield School District","=""1090011""",2737
"Plainville School District","=""1100011""",2554
"Plymouth School District","=""1110011""",1799
"Pomfret School District","=""1120011""",539
"Portland School District","=""1130011""",1439
"Preston School District","=""1140011""",438
"Putnam School District","=""1160011""",1239
"Redding School District","=""1170011""",1269
"Regional School District 01","=""2010012""",516
"Regional School District 04","=""2040012""",981
"Regional School District 05","=""2050012""",2498
"Regional School District 06","=""2060012""",1076
"Regional School District 07","=""2070012""",1172
"Regional School District 08","=""2080012""",1743
"Regional School District 09","=""2090012""",973
"Regional School District 10","=""2100012""",2831
"Regional School District 11","=""2110012""",300
"Regional School District 12","=""2120012""",973
"Regional School District 13","=""2130012""",2094
"Regional School District 14","=""2140012""",2129
"Regional School District 15","=""2150012""",4558
"Regional School District 16","=""2160012""",2594
"Regional School District 17","=""2170012""",2503
"Regional School District 18","=""2180012""",1490
"Regional School District 19","=""2190012""",1201
"Ridgefield School District","=""1180011""",5456
"Rocky Hill School District","=""1190011""",2649
"Salem School District","=""1210011""",494
"Salisbury School District","=""1220011""",311
"Scotland School District","=""1230011""",161
"Seymour School District","=""1240011""",2442
"Sharon School District","=""1250011""",205
"Shelton School District","=""1260011""",5480
"Sherman School District","=""1270011""",446
"Side By Side Charter School District","=""2700013""",232
"Simsbury School District","=""1280011""",4886
"Somers School District","=""1290011""",1660
"South Windsor School District","=""1320011""",4696
"Southington School District","=""1310011""",6839
"Sprague School District","=""1330011""",352
"Stafford School District","=""1340011""",1854
"Stamford Academy District","=""2820013""",131
"Stamford School District","=""1350011""",15134
"Sterling School District","=""1360011""",508
"Stonington School District","=""1370011""",2538
"Stratford School District","=""1380011""",7381
"Suffield School District","=""1390011""",2570
"The Bridge Academy District","=""2690013""",263
"The Gilbert School District","=""9020022""",381
"Thomaston School District","=""1400011""",1178
"Thompson School District","=""1410011""",1342
"Tolland School District","=""1420011""",3168
"Torrington School District","=""1430011""",4746
"Trailblazers Academy District","=""2780013""",165
"Trumbull School District","=""1440011""",7039
"Unified School District #1","=""3360015""",990
"Unified School District #2","=""3470015""",330
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",3701
"Voluntown School District","=""1470011""",303
"Wallingford School District","=""1480011""",6701
"Waterbury School District","=""1510011""",18260
"Waterford School District","=""1520011""",2890
"Watertown School District","=""1530011""",3250
