"Student Counts by District and Year"
"All Districts"
"2017-18"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",1149
"Amistad Academy District","=""2790013""",1081
"Andover School District","=""0010011""",204
"Ansonia School District","=""0020011""",2304
"Area Cooperative Educational Services","=""2440014""",1942
"Ashford School District","=""0030011""",395
"Avon School District","=""0040011""",3221
"Barkhamsted School District","=""0050011""",248
"Berlin School District","=""0070011""",2795
"Bethany School District","=""0080011""",365
"Bethel School District","=""0090011""",3059
"Bloomfield School District","=""0110011""",2149
"Bolton School District","=""0120011""",812
"Booker T. Washington Academy District","=""2950013""",300
"Bozrah School District","=""0130011""",204
"Branford School District","=""0140011""",2918
"Brass City Charter School District","=""2900013""",254
"Bridgeport Achievement First District","=""2850013""",1062
"Bridgeport School District","=""0150011""",20896
"Bristol School District","=""0170011""",7997
"Brookfield School District","=""0180011""",2639
"Brooklyn School District","=""0190011""",898
"Canaan School District","=""0210011""",71
"Canterbury School District","=""0220011""",459
"Canton School District","=""0230011""",1608
"Capital Preparatory Harbor School Inc. District","=""2970013""",439
"Capitol Region Education Council","=""2410014""",8564
"Chaplin School District","=""0240011""",148
"Cheshire School District","=""0250011""",4296
"Chester School District","=""0260011""",205
"Clinton School District","=""0270011""",1767
"Colchester School District","=""0280011""",2452
"Colebrook School District","=""0290011""",87
"Columbia School District","=""0300011""",437
"Common Ground High School District","=""2680013""",202
"Connecticut Technical Education and Career System","=""9000016""",10729
"Cooperative Educational Services","=""2430014""",834
"Cornwall School District","=""0310011""",73
"Coventry School District","=""0320011""",1690
"Cromwell School District","=""0330011""",1973
"Danbury School District","=""0340011""",11483
"Darien School District","=""0350011""",4818
"Deep River School District","=""0360011""",276
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",1370
"East Granby School District","=""0400011""",848
"East Haddam School District","=""0410011""",1023
"East Hampton School District","=""0420011""",1869
"East Hartford School District","=""0430011""",6868
"East Haven School District","=""0440011""",2872
"East Lyme School District","=""0450011""",2757
