"Student Counts by District and Year"
"All Districts"
"2017-18"

"District","District Code","Count"
"East Windsor School District","=""0470011""",1082
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",425
"Eastford School District","=""0390011""",151
"Easton School District","=""0460011""",906
"EdAdvance","=""2420014""",232
"Ellington School District","=""0480011""",2688
"Elm City College Preparatory School District","=""2890013""",752
"Elm City Montessori School District","=""2910013""",170
"Enfield School District","=""0490011""",5206
"Essex School District","=""0500011""",346
"Explorations District","=""2720013""",96
"Fairfield School District","=""0510011""",9976
"Farmington School District","=""0520011""",4112
"Franklin School District","=""0530011""",165
"Glastonbury School District","=""0540011""",5919
"Granby School District","=""0560011""",1874
"Great Oaks Charter School District","=""2940013""",400
"Greenwich School District","=""0570011""",9042
"Griswold School District","=""0580011""",1779
"Groton School District","=""0590011""",4381
"Guilford School District","=""0600011""",3388
"Hamden School District","=""0620011""",5420
"Hampton School District","=""0630011""",93
"Hartford School District","=""0640011""",20142
"Hartland School District","=""0650011""",173
"Hebron School District","=""0670011""",702
"Highville Charter School District","=""2860013""",502
"Integrated Day Charter School District","=""2640013""",331
"Interdistrict School for Arts and Comm District","=""2650013""",271
"Jumoke Academy District","=""2610013""",753
"Kent School District","=""0680011""",225
"Killingly School District","=""0690011""",2523
"Learn","=""2450014""",2484
"Lebanon School District","=""0710011""",1011
"Ledyard School District","=""0720011""",2439
"Lisbon School District","=""0730011""",398
"Litchfield School District","=""0740011""",918
"Madison School District","=""0760011""",2835
"Manchester School District","=""0770011""",6228
"Mansfield School District","=""0780011""",1138
"Marlborough School District","=""0790011""",491
"Meriden School District","=""0800011""",7933
"Middletown School District","=""0830011""",4588
"Milford School District","=""0840011""",5792
"Monroe School District","=""0850011""",3149
"Montville School District","=""0860011""",2180
"Naugatuck School District","=""0880011""",4244
"New Beginnings Inc Family Academy District","=""2800013""",497
"New Britain School District","=""0890011""",10064
"New Canaan School District","=""0900011""",4237
"New Fairfield School District","=""0910011""",2308
"New Hartford School District","=""0920011""",456
"New Haven School District","=""0930011""",21518
"New London School District","=""0950011""",3700
"New Milford School District","=""0960011""",4133
"Newington School District","=""0940011""",4078
"Newtown School District","=""0970011""",4407
"Norfolk School District","=""0980011""",95
"North Branford School District","=""0990011""",1784
"North Canaan School District","=""1000011""",281
"North Haven School District","=""1010011""",3159
"North Stonington School District","=""1020011""",752
"Norwalk School District","=""1030011""",11573
"Norwich Free Academy District","=""9010022""",2326
"Norwich School District","=""1040011""",3595
"Odyssey Community School District","=""2630013""",329
"Old Saybrook School District","=""1060011""",1266
"Orange School District","=""1070011""",1175
"Oxford School District","=""1080011""",1855
"Park City Prep Charter School District","=""2830013""",360
"Path Academy District","=""2930013""",174
"Plainfield School District","=""1090011""",2267
"Plainville School District","=""1100011""",2376
"Plymouth School District","=""1110011""",1466
"Pomfret School District","=""1120011""",388
"Portland School District","=""1130011""",1321
"Preston School District","=""1140011""",447
"Putnam School District","=""1160011""",1185
"Redding School District","=""1170011""",914
"Regional School District 01","=""2010012""",390
"Regional School District 04","=""2040012""",924
"Regional School District 05","=""2050012""",2216
"Regional School District 06","=""2060012""",919
"Regional School District 07","=""2070012""",1082
"Regional School District 08","=""2080012""",1508
"Regional School District 09","=""2090012""",909
"Regional School District 10","=""2100012""",2348
"Regional School District 11","=""2110012""",235
"Regional School District 12","=""2120012""",692
"Regional School District 13","=""2130012""",1675
"Regional School District 14","=""2140012""",1716
"Regional School District 15","=""2150012""",3631
"Regional School District 16","=""2160012""",2197
"Regional School District 17","=""2170012""",2066
"Regional School District 18","=""2180012""",1278
"Regional School District 19","=""2190012""",1208
"Ridgefield School District","=""1180011""",4929
"Rocky Hill School District","=""1190011""",2709
"Salem School District","=""1210011""",401
"Salisbury School District","=""1220011""",298
"Scotland School District","=""1230011""",119
"Seymour School District","=""1240011""",2176
"Sharon School District","=""1250011""",139
"Shelton School District","=""1260011""",4720
"Sherman School District","=""1270011""",302
"Side By Side Charter School District","=""2700013""",235
"Simsbury School District","=""1280011""",4098
"Somers School District","=""1290011""",1439
"South Windsor School District","=""1320011""",4259
"Southington School District","=""1310011""",6500
"Sprague School District","=""1330011""",339
"Stafford School District","=""1340011""",1527
"Stamford Academy District","=""2820013""",159
"Stamford Charter School for Excellence District","=""2960013""",273
"Stamford School District","=""1350011""",15931
"Sterling School District","=""1360011""",387
"Stonington School District","=""1370011""",2097
"Stratford School District","=""1380011""",6840
"Suffield School District","=""1390011""",2218
"The Bridge Academy District","=""2690013""",279
"The Gilbert School District","=""9020022""",561
"Thomaston School District","=""1400011""",877
"Thompson School District","=""1410011""",1020
"Tolland School District","=""1420011""",2467
"Torrington School District","=""1430011""",4108
"Trailblazers Academy District","=""2780013""",119
"Trumbull School District","=""1440011""",6740
"Unified School District #1","=""3360015""",179
"Unified School District #2","=""3470015""",157
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",3108
"Voluntown School District","=""1470011""",282
"Wallingford School District","=""1480011""",5863
"Waterbury School District","=""1510011""",19007
"Waterford School District","=""1520011""",2535
"Watertown School District","=""1530011""",2785
"West Hartford School District","=""1550011""",9738
"West Haven School District","=""1560011""",5861
"Westbrook School District","=""1540011""",731
"Weston School District","=""1570011""",2343
"Westport School District","=""1580011""",5598
"Wethersfield School District","=""1590011""",3609
"Willington School District","=""1600011""",440
"Wilton School District","=""1610011""",4050
"Winchester School District","=""1620011""",554
"Windham School District","=""1630011""",3349
"Windsor Locks School District","=""1650011""",1553
"Windsor School District","=""1640011""",3274
"Wolcott School District","=""1660011""",2263
"Woodbridge School District","=""1670011""",836
"Woodstock Academy District","=""9030022""",1087
"Woodstock School District","=""1690011""",857
"Total","=""""",535025

