"Student Counts by District and Year"
"All Districts"
"2007-08"

"District","District Code","Count"
"Amistad Academy District","=""2790013""",547
"Andover School District","=""0010011""",347
"Ansonia School District","=""0020011""",2743
"Area Cooperative Educational Services","=""2440014""",2098
"Ashford School District","=""0030011""",505
"Avon School District","=""0040011""",3612
"Barkhamsted School District","=""0050011""",358
"Berlin School District","=""0070011""",3275
"Bethany School District","=""0080011""",570
"Bethel School District","=""0090011""",3157
"Bloomfield School District","=""0110011""",2240
"Bolton School District","=""0120011""",876
"Bozrah School District","=""0130011""",269
"Branford School District","=""0140011""",3514
"Bridgeport Achievement First District","=""2850013""",85
"Bridgeport School District","=""0150011""",20958
"Bristol School District","=""0170011""",8980
"Brookfield School District","=""0180011""",2955
"Brooklyn School District","=""0190011""",993
"Canaan School District","=""0210011""",102
"Canterbury School District","=""0220011""",584
"Canton School District","=""0230011""",1739
"Capitol Region Education Council","=""2410014""",2793
"Chaplin School District","=""0240011""",210
"Cheshire School District","=""0250011""",5144
"Chester School District","=""0260011""",341
"Clinton School District","=""0270011""",2113
"Colchester School District","=""0280011""",3262
"Colebrook School District","=""0290011""",123
"Columbia School District","=""0300011""",593
"Common Ground High School District","=""2680013""",152
"Connecticut Technical Education and Career System","=""9000016""",9973
"Cooperative Educational Services","=""2430014""",675
"Cornwall School District","=""0310011""",129
"Coventry School District","=""0320011""",2016
"Cromwell School District","=""0330011""",2000
"Danbury School District","=""0340011""",10178
"Darien School District","=""0350011""",4662
"Deep River School District","=""0360011""",389
"Department of Mental Health and Addiction Services","=""3370015""",11
"Derby School District","=""0370011""",1472
"East Granby School District","=""0400011""",914
"East Haddam School District","=""0410011""",1433
"East Hampton School District","=""0420011""",2087
"East Hartford School District","=""0430011""",7474
"East Haven School District","=""0440011""",3699
"East Lyme School District","=""0450011""",3269
"East Windsor School District","=""0470011""",1494
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",64
"Eastford School District","=""0390011""",189
"Easton School District","=""0460011""",1180
"EdAdvance","=""2420014""",179
"Ellington School District","=""0480011""",2612
"Elm City College Preparatory School","=""2810013""",476
"Enfield School District","=""0490011""",6373
"Essex School District","=""0500011""",551
"Explorations District","=""2720013""",86
"Fairfield School District","=""0510011""",9797
"Farmington School District","=""0520011""",4209
"Franklin School District","=""0530011""",235
"Glastonbury School District","=""0540011""",6882
"Granby School District","=""0560011""",2339
"Greenwich School District","=""0570011""",9014
"Griswold School District","=""0580011""",2146
"Groton School District","=""0590011""",5198
"Guilford School District","=""0600011""",3839
"Hamden School District","=""0620011""",6306
"Hampton School District","=""0630011""",166
"Hartford School District","=""0640011""",22679
"Hartland School District","=""0650011""",236
"Hebron School District","=""0670011""",1206
"Highville Charter School District","=""2860013""",277
"Integrated Day Charter School District","=""2640013""",330
"Interdistrict School for Arts and Comm District","=""2650013""",181
"Jumoke Academy District","=""2610013""",369
"Kent School District","=""0680011""",257
"Killingly School District","=""0690011""",2735
"Learn","=""2450014""",1077
"Lebanon School District","=""0710011""",1530
"Ledyard School District","=""0720011""",2905
"Lisbon School District","=""0730011""",579
"Litchfield School District","=""0740011""",1215
"Madison School District","=""0760011""",3796
"Manchester School District","=""0770011""",6913
"Mansfield School District","=""0780011""",1307
"Marlborough School District","=""0790011""",663
"Meriden School District","=""0800011""",8908
"Middletown School District","=""0830011""",5088
"Milford School District","=""0840011""",7400
"Monroe School District","=""0850011""",4226
"Montville School District","=""0860011""",2871
"Naugatuck School District","=""0880011""",4931
"New Beginnings Inc Family Academy District","=""2800013""",362
"New Britain School District","=""0890011""",10719
"New Canaan School District","=""0900011""",4130
"New Fairfield School District","=""0910011""",3048
"New Hartford School District","=""0920011""",618
"New Haven School District","=""0930011""",19981
"New London School District","=""0950011""",2933
"New Milford School District","=""0960011""",5034
"Newington School District","=""0940011""",4566
"Newtown School District","=""0970011""",5663
"Norfolk School District","=""0980011""",168
"North Branford School District","=""0990011""",2434
"North Canaan School District","=""1000011""",359
"North Haven School District","=""1010011""",3897
"North Stonington School District","=""1020011""",805
"Norwalk School District","=""1030011""",10729
"Norwich Free Academy District","=""9010022""",2449
"Norwich School District","=""1040011""",4070
"Odyssey Community School District","=""2630013""",177
"Old Saybrook School District","=""1060011""",1621
"Orange School District","=""1070011""",1377
"Oxford School District","=""1080011""",1861
"Park City Prep Charter School District","=""2830013""",206
"Plainfield School District","=""1090011""",2784
"Plainville School District","=""1100011""",2629
"Plymouth School District","=""1110011""",1913
"Pomfret School District","=""1120011""",543
"Portland School District","=""1130011""",1433
"Preston School District","=""1140011""",509
"Putnam School District","=""1160011""",1319
"Redding School District","=""1170011""",1309
"Regional School District 01","=""2010012""",570
"Regional School District 04","=""2040012""",961
"Regional School District 05","=""2050012""",2483
"Regional School District 06","=""2060012""",1130
"Regional School District 07","=""2070012""",1155
"Regional School District 08","=""2080012""",1676
"Regional School District 09","=""2090012""",979
"Regional School District 10","=""2100012""",2855
"Regional School District 11","=""2110012""",299
"Regional School District 12","=""2120012""",1062
"Regional School District 13","=""2130012""",2156
"Regional School District 14","=""2140012""",2215
"Regional School District 15","=""2150012""",4583
"Regional School District 16","=""2160012""",2691
"Regional School District 17","=""2170012""",2562
"Regional School District 18","=""2180012""",1538
"Regional School District 19","=""2190012""",1191
"Ridgefield School District","=""1180011""",5560
"Rocky Hill School District","=""1190011""",2622
"Salem School District","=""1210011""",506
"Salisbury School District","=""1220011""",307
"Scotland School District","=""1230011""",190
"Seymour School District","=""1240011""",2619
"Sharon School District","=""1250011""",219
"Shelton School District","=""1260011""",5670
"Sherman School District","=""1270011""",459
"Side By Side Charter School District","=""2700013""",230
"Simsbury School District","=""1280011""",4973
