"Student Counts by District and Year"
"All Districts"
"2007-08"

"District","District Code","Count"
"Somers School District","=""1290011""",1734
"South Windsor School District","=""1320011""",4972
"Southington School District","=""1310011""",6947
"Sprague School District","=""1330011""",356
"Stafford School District","=""1340011""",1917
"Stamford Academy District","=""2820013""",131
"Stamford School District","=""1350011""",14982
"Sterling School District","=""1360011""",504
"Stonington School District","=""1370011""",2549
"Stratford School District","=""1380011""",7440
"Suffield School District","=""1390011""",2594
"The Bridge Academy District","=""2690013""",260
"The Gilbert School District","=""9020022""",408
"Thomaston School District","=""1400011""",1272
"Thompson School District","=""1410011""",1488
"Tolland School District","=""1420011""",3143
"Torrington School District","=""1430011""",4868
"Trailblazers Academy District","=""2780013""",150
"Trumbull School District","=""1440011""",6918
"Unified School District #1","=""3360015""",1195
"Unified School District #2","=""3470015""",375
"Union School District","=""1450011""",73
"Vernon School District","=""1460011""",3722
"Voluntown School District","=""1470011""",315
"Wallingford School District","=""1480011""",6855
"Waterbury School District","=""1510011""",18401
"Waterford School District","=""1520011""",2954
"Watertown School District","=""1530011""",3412
"West Hartford School District","=""1550011""",10045
"West Haven School District","=""1560011""",6490
"Westbrook School District","=""1540011""",985
"Weston School District","=""1570011""",2591
"Westport School District","=""1580011""",5700
"Wethersfield School District","=""1590011""",3838
"Willington School District","=""1600011""",601
"Wilton School District","=""1610011""",4384
"Winchester School District","=""1620011""",1073
"Windham School District","=""1630011""",3675
"Windsor Locks School District","=""1650011""",1843
"Windsor School District","=""1640011""",4128
"Wolcott School District","=""1660011""",2928
"Woodbridge School District","=""1670011""",788
"Woodstock Academy District","=""9030022""",1153
"Woodstock School District","=""1690011""",951
"Total","=""""",574848

